Parameters:	Emissivity:	0.95																																																																																																																																																																																																																																																																																																																													
	Distance:	1.0 m																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																															
	22.377	22.377	22.364	22.39	22.429	22.442	22.416	22.39	22.364	22.325	22.286	22.273	22.286	22.299	22.325	22.312	22.273	22.273	22.299	22.312	22.273	22.234	22.195	22.182	22.195	22.208	22.221	22.208	22.182	22.156	22.117	22.13	22.169	22.208	22.234	22.221	22.195	22.182	22.182	22.195	22.208	22.195	22.156	22.169	22.221	22.247	22.247	22.221	22.208	22.195	22.195	22.195	22.195	22.182	22.195	22.195	22.182	22.156	22.117	22.117	22.156	22.182	22.169	22.182	22.208	22.221	22.208	22.208	22.195	22.182	22.143	22.143	22.169	22.156	22.117	22.13	22.169	22.169	22.117	22.117	22.169	22.221	22.26	22.247	22.195	22.182	22.221	22.221	22.208	22.221	22.26	22.299	22.312	22.299	22.286	22.299	22.338	22.351	22.338	22.312	22.299	22.299	22.338	22.364	22.364	22.338	22.312	22.273	22.234	22.195	22.169	22.143	22.143	22.169	22.208	22.208	22.169	22.143	22.117	22.13	22.156	22.195	22.221	22.234	22.221	22.208	22.208	22.182	22.169	22.182	22.221	22.221	22.182	22.143	22.117	22.117	22.156	22.195	22.234	22.273	22.312	22.325	22.325	22.299	22.286	22.299	22.351	22.338	22.26	22.221	22.234	22.247	22.247	22.26	22.286	22.286	22.286	22.286	22.299	22.325	22.351	22.351	22.325	22.312	22.312	22.325	22.364	22.377	22.364	22.338	22.325	22.312	22.325	22.338	22.351	22.403	22.454	22.454	22.377	22.312	22.247	22.234	22.26	22.286	22.312	22.312	22.299	22.312	22.351	22.325	22.26	22.247	22.299	22.351	22.377	22.39	22.39	22.351	22.286	22.273	22.299	22.299	22.26	22.221	22.221	22.247	22.286	22.273	22.195	22.169	22.221	22.26	22.286	22.286	22.26	22.247	22.26	22.234	22.182	22.169	22.208	22.221	22.182	22.195	22.247	22.247	22.208	22.182	22.195	22.221	22.221	22.208	22.169	22.156	22.156	22.208	22.286	22.325	22.325	22.312	22.312	22.325	22.377	22.377	22.351	22.351	22.364	22.364	22.338	22.325	22.312	22.286	22.221	22.208	22.234	22.221	22.195	22.195	22.247	22.273	22.273	22.26	22.247	22.234	22.234	22.208	22.169	22.169	22.195	22.182	22.117	22.117	22.182	22.221	22.221	22.247	22.338	22.377	22.364	22.338	22.312	22.325	22.364	22.364	22.325	22.338	22.39	22.39	22.338	22.299	22.299	22.338	22.377	22.429	22.454	22.467	22.467	22.454	22.416	22.442	22.506	22.545	22.545	22.532	22.506	22.48	22.454	22.454	22.48	22.454	22.403	22.39	22.429	22.429	22.403	22.364	22.338	22.351	22.39
	22.351	22.338	22.325	22.325	22.338	22.351	22.351	22.338	22.325	22.299	22.299	22.286	22.299	22.299	22.299	22.273	22.234	22.247	22.312	22.312	22.26	22.208	22.182	22.182	22.208	22.208	22.195	22.182	22.182	22.156	22.117	22.13	22.169	22.208	22.208	22.221	22.221	22.221	22.208	22.195	22.182	22.169	22.169	22.208	22.26	22.26	22.182	22.182	22.247	22.247	22.169	22.13	22.13	22.143	22.156	22.169	22.182	22.156	22.091	22.052	22.065	22.104	22.13	22.156	22.169	22.182	22.208	22.221	22.234	22.221	22.195	22.182	22.195	22.182	22.156	22.156	22.156	22.143	22.13	22.143	22.195	22.221	22.234	22.221	22.182	22.182	22.221	22.221	22.195	22.208	22.286	22.325	22.299	22.286	22.286	22.312	22.351	22.377	22.351	22.338	22.325	22.325	22.325	22.338	22.351	22.351	22.325	22.273	22.208	22.182	22.169	22.169	22.156	22.169	22.195	22.208	22.195	22.156	22.117	22.117	22.156	22.195	22.208	22.221	22.208	22.195	22.182	22.169	22.182	22.195	22.221	22.247	22.26	22.234	22.169	22.143	22.156	22.195	22.234	22.26	22.273	22.286	22.312	22.299	22.273	22.286	22.312	22.312	22.273	22.247	22.234	22.221	22.221	22.221	22.247	22.26	22.286	22.299	22.312	22.325	22.338	22.338	22.325	22.299	22.26	22.273	22.312	22.312	22.286	22.273	22.273	22.299	22.325	22.338	22.338	22.364	22.416	22.416	22.377	22.325	22.299	22.286	22.299	22.325	22.338	22.338	22.325	22.325	22.312	22.286	22.247	22.247	22.286	22.325	22.351	22.377	22.403	22.377	22.312	22.273	22.26	22.273	22.273	22.26	22.234	22.234	22.273	22.273	22.247	22.234	22.26	22.286	22.299	22.299	22.26	22.247	22.247	22.247	22.247	22.247	22.26	22.234	22.208	22.208	22.221	22.221	22.208	22.221	22.234	22.234	22.208	22.182	22.143	22.143	22.169	22.234	22.299	22.325	22.325	22.299	22.273	22.299	22.351	22.39	22.403	22.39	22.377	22.364	22.325	22.312	22.312	22.273	22.208	22.195	22.234	22.234	22.182	22.169	22.195	22.234	22.26	22.26	22.247	22.234	22.247	22.208	22.13	22.143	22.247	22.247	22.156	22.13	22.195	22.221	22.234	22.273	22.338	22.364	22.351	22.312	22.273	22.273	22.338	22.377	22.403	22.416	22.416	22.39	22.351	22.312	22.299	22.325	22.39	22.416	22.429	22.442	22.454	22.467	22.442	22.454	22.467	22.48	22.493	22.506	22.493	22.48	22.454	22.442	22.442	22.429	22.416	22.403	22.416	22.403	22.351	22.312	22.299	22.338	22.416
	22.351	22.325	22.299	22.286	22.299	22.312	22.312	22.312	22.312	22.312	22.312	22.299	22.299	22.286	22.273	22.247	22.195	22.221	22.286	22.286	22.234	22.195	22.182	22.195	22.208	22.208	22.169	22.169	22.182	22.169	22.143	22.143	22.169	22.195	22.208	22.221	22.234	22.234	22.208	22.182	22.169	22.169	22.169	22.208	22.273	22.26	22.182	22.182	22.26	22.26	22.156	22.104	22.104	22.13	22.143	22.169	22.182	22.143	22.065	22.039	22.065	22.091	22.117	22.117	22.117	22.13	22.195	22.221	22.221	22.221	22.221	22.208	22.208	22.195	22.182	22.169	22.169	22.156	22.156	22.169	22.208	22.234	22.221	22.208	22.195	22.208	22.221	22.221	22.208	22.221	22.286	22.312	22.299	22.286	22.299	22.312	22.338	22.364	22.351	22.351	22.338	22.325	22.312	22.325	22.351	22.351	22.312	22.273	22.221	22.182	22.169	22.169	22.169	22.182	22.195	22.195	22.195	22.169	22.117	22.117	22.156	22.195	22.195	22.182	22.156	22.143	22.13	22.143	22.169	22.195	22.195	22.234	22.286	22.273	22.208	22.169	22.195	22.208	22.234	22.247	22.247	22.273	22.299	22.286	22.26	22.26	22.273	22.286	22.273	22.247	22.234	22.208	22.208	22.221	22.26	22.286	22.286	22.286	22.286	22.299	22.325	22.325	22.299	22.273	22.247	22.247	22.273	22.286	22.26	22.247	22.273	22.299	22.338	22.338	22.325	22.325	22.351	22.364	22.364	22.351	22.325	22.312	22.312	22.312	22.338	22.338	22.338	22.312	22.286	22.26	22.247	22.26	22.273	22.299	22.325	22.364	22.39	22.377	22.325	22.273	22.26	22.26	22.273	22.273	22.273	22.273	22.26	22.26	22.286	22.299	22.312	22.312	22.299	22.286	22.26	22.247	22.221	22.234	22.273	22.286	22.26	22.26	22.247	22.234	22.221	22.221	22.234	22.247	22.26	22.234	22.195	22.156	22.13	22.143	22.182	22.247	22.286	22.325	22.325	22.325	22.312	22.325	22.351	22.39	22.403	22.403	22.39	22.364	22.325	22.299	22.273	22.234	22.195	22.195	22.234	22.221	22.182	22.156	22.182	22.195	22.208	22.221	22.234	22.247	22.247	22.208	22.156	22.169	22.26	22.26	22.195	22.169	22.195	22.221	22.234	22.26	22.299	22.312	22.312	22.299	22.273	22.286	22.338	22.377	22.403	22.416	22.416	22.39	22.351	22.325	22.325	22.338	22.39	22.416	22.429	22.442	22.467	22.467	22.467	22.454	22.454	22.454	22.467	22.467	22.467	22.454	22.442	22.429	22.442	22.442	22.442	22.442	22.416	22.377	22.325	22.286	22.299	22.338	22.403
	22.364	22.325	22.273	22.273	22.325	22.338	22.325	22.312	22.325	22.325	22.325	22.312	22.286	22.273	22.273	22.234	22.169	22.182	22.234	22.26	22.221	22.195	22.182	22.195	22.208	22.195	22.156	22.143	22.182	22.195	22.182	22.169	22.169	22.195	22.234	22.247	22.234	22.208	22.169	22.156	22.169	22.169	22.156	22.182	22.234	22.247	22.234	22.221	22.234	22.221	22.182	22.143	22.117	22.13	22.182	22.195	22.169	22.117	22.052	22.052	22.117	22.156	22.143	22.104	22.065	22.091	22.156	22.195	22.182	22.195	22.221	22.221	22.195	22.182	22.182	22.195	22.208	22.208	22.182	22.195	22.234	22.234	22.208	22.208	22.234	22.247	22.234	22.221	22.234	22.234	22.247	22.26	22.286	22.299	22.299	22.299	22.299	22.312	22.338	22.338	22.325	22.312	22.325	22.338	22.338	22.325	22.299	22.273	22.247	22.208	22.169	22.156	22.182	22.195	22.195	22.195	22.195	22.169	22.13	22.143	22.182	22.195	22.169	22.13	22.104	22.091	22.078	22.104	22.143	22.169	22.156	22.182	22.234	22.26	22.234	22.221	22.234	22.234	22.221	22.221	22.247	22.273	22.286	22.273	22.247	22.247	22.26	22.273	22.273	22.26	22.234	22.221	22.221	22.26	22.338	22.351	22.286	22.247	22.247	22.273	22.312	22.312	22.26	22.234	22.247	22.273	22.286	22.286	22.273	22.273	22.299	22.325	22.351	22.351	22.312	22.286	22.26	22.286	22.351	22.364	22.338	22.299	22.273	22.273	22.299	22.312	22.312	22.286	22.247	22.247	22.273	22.286	22.273	22.286	22.312	22.338	22.351	22.351	22.312	22.299	22.299	22.286	22.26	22.286	22.338	22.325	22.273	22.26	22.299	22.351	22.377	22.351	22.273	22.247	22.273	22.26	22.208	22.195	22.234	22.247	22.247	22.26	22.286	22.273	22.247	22.234	22.26	22.26	22.234	22.208	22.182	22.156	22.117	22.13	22.182	22.234	22.26	22.299	22.351	22.377	22.377	22.377	22.377	22.364	22.351	22.351	22.377	22.377	22.338	22.273	22.221	22.195	22.208	22.208	22.221	22.208	22.182	22.182	22.182	22.169	22.13	22.156	22.221	22.247	22.234	22.221	22.247	22.247	22.221	22.208	22.208	22.208	22.208	22.221	22.234	22.234	22.221	22.234	22.273	22.299	22.312	22.338	22.351	22.351	22.338	22.351	22.403	22.403	22.364	22.351	22.377	22.39	22.39	22.416	22.467	22.493	22.493	22.48	22.467	22.467	22.48	22.467	22.442	22.429	22.429	22.429	22.416	22.429	22.454	22.48	22.506	22.48	22.429	22.377	22.312	22.299	22.312	22.338	22.364
	22.364	22.338	22.299	22.299	22.351	22.364	22.325	22.312	22.312	22.325	22.338	22.325	22.286	22.273	22.247	22.208	22.156	22.156	22.208	22.234	22.208	22.195	22.208	22.221	22.221	22.195	22.143	22.143	22.195	22.221	22.208	22.195	22.182	22.195	22.208	22.221	22.221	22.195	22.156	22.143	22.156	22.169	22.169	22.169	22.169	22.182	22.208	22.208	22.182	22.169	22.169	22.156	22.104	22.117	22.182	22.195	22.143	22.091	22.052	22.078	22.117	22.156	22.156	22.13	22.091	22.078	22.13	22.156	22.169	22.182	22.208	22.195	22.169	22.169	22.169	22.182	22.208	22.208	22.195	22.208	22.221	22.221	22.208	22.221	22.247	22.247	22.234	22.221	22.221	22.234	22.234	22.247	22.273	22.286	22.286	22.286	22.299	22.325	22.351	22.351	22.325	22.325	22.338	22.338	22.325	22.312	22.299	22.273	22.247	22.221	22.195	22.182	22.182	22.195	22.195	22.195	22.182	22.169	22.169	22.182	22.208	22.208	22.156	22.117	22.091	22.091	22.091	22.117	22.143	22.169	22.182	22.195	22.208	22.221	22.234	22.247	22.247	22.221	22.195	22.208	22.247	22.273	22.273	22.26	22.26	22.26	22.273	22.273	22.26	22.247	22.247	22.234	22.247	22.286	22.364	22.364	22.273	22.234	22.247	22.286	22.312	22.299	22.247	22.234	22.26	22.273	22.273	22.286	22.286	22.312	22.338	22.351	22.364	22.338	22.299	22.26	22.247	22.26	22.325	22.351	22.325	22.299	22.247	22.247	22.286	22.312	22.312	22.286	22.234	22.234	22.273	22.286	22.286	22.273	22.286	22.299	22.325	22.312	22.286	22.286	22.286	22.286	22.26	22.286	22.338	22.338	22.286	22.273	22.299	22.351	22.377	22.351	22.286	22.26	22.286	22.273	22.221	22.195	22.208	22.221	22.221	22.234	22.26	22.26	22.26	22.26	22.26	22.247	22.208	22.182	22.156	22.13	22.104	22.117	22.195	22.234	22.247	22.286	22.338	22.39	22.416	22.403	22.364	22.325	22.299	22.312	22.338	22.338	22.299	22.247	22.208	22.195	22.208	22.221	22.221	22.221	22.221	22.208	22.182	22.13	22.104	22.13	22.195	22.221	22.208	22.221	22.273	22.26	22.169	22.156	22.208	22.234	22.208	22.208	22.234	22.234	22.208	22.208	22.234	22.286	22.325	22.364	22.39	22.377	22.325	22.338	22.377	22.39	22.351	22.351	22.403	22.416	22.39	22.416	22.48	22.506	22.48	22.454	22.454	22.467	22.493	22.493	22.454	22.429	22.429	22.429	22.416	22.416	22.429	22.454	22.493	22.48	22.429	22.364	22.338	22.325	22.325	22.338	22.338
	22.364	22.351	22.325	22.338	22.377	22.377	22.325	22.286	22.273	22.286	22.325	22.338	22.312	22.26	22.221	22.182	22.156	22.169	22.221	22.234	22.208	22.208	22.247	22.26	22.247	22.195	22.143	22.143	22.195	22.221	22.221	22.208	22.208	22.195	22.156	22.156	22.182	22.182	22.156	22.143	22.143	22.169	22.195	22.182	22.13	22.104	22.117	22.117	22.117	22.117	22.143	22.117	22.065	22.078	22.156	22.169	22.104	22.078	22.091	22.078	22.052	22.091	22.169	22.195	22.143	22.104	22.104	22.13	22.182	22.208	22.195	22.169	22.13	22.13	22.156	22.169	22.143	22.156	22.195	22.208	22.182	22.182	22.221	22.221	22.208	22.208	22.221	22.208	22.182	22.195	22.247	22.273	22.273	22.26	22.247	22.273	22.325	22.364	22.351	22.351	22.351	22.338	22.338	22.338	22.325	22.312	22.286	22.247	22.208	22.195	22.234	22.234	22.182	22.169	22.195	22.208	22.182	22.182	22.195	22.221	22.247	22.221	22.169	22.143	22.13	22.143	22.156	22.169	22.169	22.195	22.234	22.234	22.195	22.195	22.234	22.247	22.208	22.182	22.182	22.208	22.247	22.273	22.26	22.273	22.299	22.312	22.299	22.273	22.247	22.234	22.247	22.26	22.273	22.299	22.312	22.312	22.26	22.26	22.299	22.325	22.299	22.286	22.273	22.26	22.247	22.247	22.26	22.273	22.299	22.338	22.364	22.377	22.364	22.325	22.273	22.26	22.273	22.286	22.299	22.312	22.325	22.299	22.247	22.247	22.273	22.312	22.325	22.299	22.247	22.234	22.26	22.273	22.286	22.286	22.273	22.273	22.299	22.286	22.247	22.234	22.247	22.26	22.273	22.286	22.299	22.312	22.312	22.299	22.286	22.299	22.312	22.325	22.299	22.299	22.299	22.286	22.247	22.221	22.208	22.208	22.221	22.208	22.182	22.208	22.26	22.273	22.247	22.208	22.169	22.143	22.117	22.104	22.091	22.117	22.182	22.234	22.247	22.273	22.312	22.351	22.39	22.377	22.325	22.286	22.286	22.286	22.273	22.26	22.234	22.221	22.221	22.221	22.221	22.221	22.221	22.247	22.273	22.247	22.156	22.117	22.143	22.169	22.182	22.182	22.182	22.208	22.234	22.195	22.117	22.104	22.182	22.221	22.208	22.221	22.247	22.26	22.247	22.234	22.234	22.26	22.299	22.364	22.429	22.429	22.39	22.364	22.377	22.364	22.338	22.338	22.39	22.403	22.377	22.403	22.467	22.467	22.442	22.429	22.442	22.48	22.519	22.519	22.467	22.454	22.467	22.454	22.429	22.403	22.377	22.39	22.416	22.416	22.39	22.364	22.364	22.351	22.325	22.325	22.351
	22.338	22.338	22.325	22.338	22.364	22.351	22.312	22.273	22.26	22.286	22.325	22.338	22.299	22.26	22.234	22.195	22.182	22.195	22.247	22.26	22.234	22.221	22.247	22.26	22.247	22.208	22.143	22.13	22.182	22.208	22.195	22.182	22.182	22.156	22.13	22.13	22.182	22.182	22.156	22.143	22.156	22.169	22.182	22.169	22.13	22.104	22.078	22.078	22.078	22.104	22.117	22.104	22.052	22.052	22.13	22.143	22.091	22.091	22.13	22.117	22.039	22.052	22.13	22.169	22.156	22.117	22.091	22.104	22.182	22.208	22.182	22.143	22.117	22.117	22.143	22.143	22.117	22.13	22.182	22.195	22.169	22.169	22.208	22.221	22.182	22.182	22.208	22.195	22.143	22.169	22.26	22.312	22.312	22.286	22.26	22.286	22.338	22.351	22.325	22.299	22.312	22.325	22.338	22.325	22.312	22.299	22.273	22.247	22.195	22.195	22.247	22.26	22.221	22.208	22.221	22.221	22.195	22.195	22.221	22.247	22.273	22.247	22.182	22.169	22.182	22.195	22.182	22.169	22.169	22.195	22.234	22.234	22.195	22.195	22.234	22.234	22.208	22.182	22.182	22.208	22.247	22.273	22.26	22.273	22.312	22.325	22.312	22.273	22.234	22.221	22.247	22.26	22.26	22.26	22.26	22.26	22.26	22.299	22.351	22.351	22.312	22.286	22.286	22.286	22.273	22.26	22.26	22.273	22.312	22.351	22.377	22.377	22.351	22.312	22.286	22.286	22.299	22.299	22.273	22.273	22.299	22.299	22.26	22.247	22.273	22.299	22.312	22.312	22.273	22.26	22.26	22.273	22.273	22.273	22.273	22.273	22.286	22.286	22.26	22.234	22.234	22.247	22.286	22.286	22.26	22.273	22.312	22.312	22.26	22.247	22.273	22.286	22.299	22.299	22.299	22.273	22.247	22.234	22.221	22.234	22.247	22.234	22.208	22.221	22.26	22.273	22.26	22.221	22.169	22.13	22.117	22.104	22.104	22.143	22.195	22.234	22.26	22.273	22.299	22.325	22.351	22.338	22.312	22.299	22.299	22.286	22.273	22.247	22.234	22.221	22.234	22.234	22.247	22.247	22.247	22.26	22.286	22.26	22.169	22.143	22.169	22.182	22.169	22.169	22.169	22.182	22.195	22.169	22.091	22.104	22.169	22.221	22.234	22.234	22.221	22.234	22.26	22.26	22.234	22.247	22.273	22.338	22.39	22.416	22.403	22.377	22.377	22.364	22.338	22.338	22.364	22.377	22.364	22.39	22.442	22.442	22.416	22.403	22.429	22.467	22.506	22.506	22.467	22.442	22.454	22.454	22.416	22.39	22.364	22.351	22.364	22.364	22.364	22.377	22.39	22.377	22.338	22.325	22.351
	22.312	22.299	22.299	22.312	22.325	22.312	22.286	22.273	22.299	22.312	22.312	22.312	22.286	22.273	22.26	22.247	22.234	22.247	22.299	22.312	22.273	22.247	22.221	22.221	22.234	22.208	22.143	22.13	22.156	22.156	22.13	22.104	22.091	22.091	22.117	22.156	22.208	22.208	22.169	22.156	22.182	22.182	22.143	22.143	22.182	22.182	22.117	22.078	22.078	22.091	22.117	22.104	22.065	22.065	22.104	22.117	22.104	22.117	22.169	22.156	22.078	22.039	22.052	22.091	22.117	22.117	22.078	22.104	22.169	22.182	22.156	22.13	22.117	22.13	22.143	22.143	22.13	22.13	22.143	22.156	22.169	22.182	22.195	22.195	22.195	22.195	22.208	22.169	22.117	22.156	22.273	22.351	22.364	22.351	22.325	22.312	22.325	22.299	22.247	22.234	22.234	22.273	22.312	22.325	22.299	22.273	22.26	22.247	22.221	22.221	22.234	22.26	22.286	22.286	22.26	22.247	22.221	22.221	22.234	22.26	22.286	22.26	22.195	22.182	22.208	22.208	22.156	22.13	22.143	22.169	22.195	22.208	22.221	22.234	22.234	22.234	22.234	22.234	22.221	22.234	22.247	22.26	22.26	22.26	22.286	22.286	22.273	22.26	22.234	22.234	22.234	22.234	22.221	22.208	22.208	22.234	22.26	22.312	22.351	22.364	22.325	22.312	22.299	22.299	22.312	22.299	22.273	22.286	22.299	22.338	22.351	22.364	22.338	22.325	22.325	22.312	22.312	22.299	22.273	22.273	22.273	22.286	22.273	22.273	22.26	22.26	22.286	22.299	22.312	22.299	22.286	22.273	22.234	22.247	22.286	22.312	22.299	22.299	22.312	22.299	22.26	22.26	22.299	22.286	22.234	22.234	22.299	22.312	22.247	22.234	22.26	22.273	22.247	22.247	22.26	22.247	22.221	22.208	22.247	22.286	22.299	22.312	22.312	22.286	22.26	22.26	22.273	22.26	22.195	22.156	22.156	22.156	22.169	22.182	22.195	22.221	22.26	22.286	22.312	22.325	22.312	22.312	22.338	22.338	22.325	22.312	22.312	22.299	22.286	22.26	22.234	22.234	22.26	22.273	22.26	22.26	22.26	22.247	22.234	22.208	22.182	22.169	22.156	22.156	22.169	22.182	22.182	22.156	22.117	22.13	22.182	22.247	22.273	22.247	22.182	22.182	22.234	22.247	22.234	22.247	22.26	22.286	22.312	22.325	22.351	22.364	22.39	22.377	22.351	22.338	22.338	22.351	22.351	22.377	22.416	22.429	22.416	22.416	22.429	22.454	22.48	22.467	22.429	22.416	22.429	22.416	22.377	22.364	22.364	22.364	22.351	22.351	22.377	22.39	22.39	22.377	22.364	22.338	22.325
	22.312	22.299	22.286	22.286	22.299	22.299	22.273	22.273	22.312	22.312	22.299	22.286	22.286	22.299	22.299	22.273	22.247	22.26	22.312	22.325	22.286	22.234	22.195	22.182	22.195	22.182	22.13	22.117	22.13	22.13	22.104	22.078	22.052	22.065	22.117	22.169	22.208	22.208	22.182	22.182	22.195	22.182	22.143	22.143	22.182	22.182	22.13	22.091	22.104	22.104	22.104	22.091	22.078	22.065	22.078	22.104	22.13	22.156	22.169	22.143	22.091	22.039	22.026	22.039	22.091	22.104	22.091	22.104	22.156	22.169	22.169	22.143	22.13	22.13	22.143	22.143	22.13	22.13	22.143	22.169	22.195	22.195	22.169	22.169	22.195	22.208	22.208	22.182	22.143	22.169	22.247	22.312	22.364	22.377	22.351	22.325	22.299	22.26	22.234	22.221	22.234	22.26	22.299	22.312	22.299	22.286	22.286	22.273	22.247	22.208	22.182	22.221	22.299	22.325	22.286	22.26	22.26	22.234	22.221	22.247	22.299	22.286	22.221	22.208	22.221	22.208	22.156	22.143	22.169	22.195	22.195	22.221	22.247	22.26	22.234	22.234	22.273	22.273	22.247	22.247	22.26	22.247	22.234	22.234	22.26	22.273	22.273	22.247	22.234	22.234	22.221	22.221	22.208	22.195	22.208	22.247	22.299	22.338	22.338	22.338	22.338	22.338	22.338	22.338	22.338	22.325	22.325	22.312	22.299	22.312	22.338	22.351	22.351	22.351	22.351	22.338	22.325	22.299	22.286	22.273	22.286	22.286	22.286	22.273	22.26	22.26	22.273	22.286	22.312	22.312	22.273	22.247	22.234	22.26	22.312	22.338	22.325	22.338	22.351	22.338	22.286	22.286	22.325	22.312	22.247	22.247	22.299	22.299	22.247	22.234	22.26	22.273	22.247	22.234	22.221	22.221	22.208	22.234	22.273	22.312	22.338	22.351	22.338	22.312	22.26	22.247	22.286	22.273	22.208	22.182	22.169	22.182	22.182	22.195	22.208	22.234	22.26	22.286	22.299	22.299	22.286	22.312	22.364	22.377	22.338	22.325	22.338	22.325	22.286	22.26	22.234	22.247	22.286	22.286	22.273	22.247	22.234	22.234	22.247	22.208	22.156	22.13	22.143	22.169	22.195	22.195	22.195	22.169	22.143	22.156	22.195	22.234	22.273	22.26	22.208	22.195	22.234	22.247	22.234	22.234	22.273	22.273	22.26	22.26	22.299	22.338	22.351	22.351	22.338	22.338	22.364	22.351	22.338	22.338	22.39	22.416	22.416	22.416	22.416	22.429	22.454	22.442	22.416	22.403	22.429	22.429	22.377	22.351	22.364	22.364	22.351	22.351	22.377	22.377	22.364	22.351	22.377	22.364	22.312
