Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.371,26.409,26.471,26.509,26.509,26.496,26.471,26.471,26.484,26.533,26.608,26.621,26.571,26.533,26.521,26.509,26.509,26.533,26.558,26.546,26.471,26.459,26.496,26.509,26.471,26.471,26.496,26.496,26.484,26.484,26.496,26.496,26.484,26.484,26.484,26.484,26.471,26.496,26.546,26.558,26.521,26.521,26.533,26.546,26.521,26.496,26.496,26.484,26.459,26.484,26.533,26.583,26.608,26.608,26.583,26.558,26.546,26.546,26.558,26.596,26.608,26.571,26.484,26.471,26.521,26.571,26.583,26.583,26.558,26.546,26.546,26.558,26.571,26.571,26.571,26.596,26.633,26.621,26.558,26.546,26.558,26.571,26.546,26.546,26.546,26.546,26.521,26.533,26.583,26.596,26.558,26.546,26.558,26.546,26.521,26.509,26.509,26.533,26.558,26.546,26.509,26.509,26.533,26.546,26.521,26.521,26.546,26.571,26.583,26.583,26.583,26.583,26.583,26.571,26.546,26.546,26.596,26.646,26.683,26.72,26.745,26.757,26.745,26.72,26.683,26.621,26.558,26.496,26.446,26.409,26.371,26.434,26.546,26.596,26.546,26.533,26.558,26.571,26.558,26.558,26.571,26.583,26.571,26.583,26.608,26.633,26.646,26.633,26.596,26.596,26.646,26.633,26.571,26.521,26.509,26.509,26.533,26.533,26.509,26.471,26.409,26.334,26.284,26.271,26.309,26.334,26.334,26.359,26.409,26.446,26.484,26.496,26.496,26.471,26.434,26.409,26.396,26.384,26.384,26.409,26.446,26.396,26.284,26.246,26.284,26.334,26.371,26.334,26.246,26.196,26.184,26.171,26.171,26.159,26.134,26.134,26.134,26.146,26.159,26.184,26.221,26.296,26.409,26.484,26.509,26.533,26.558,26.583,26.608,26.633,26.633,26.633,26.621,26.621,26.621,26.608,26.596,26.596,26.596,26.608,26.621,26.608,26.596,26.621,26.658,26.658,26.608,26.596,26.633,26.67,26.695,26.708,26.708,26.695,26.67,26.658,26.683,26.683,26.658,26.658,26.683,26.683,26.658,26.633,26.621,26.621,26.633,26.633,26.621,26.621,26.646,26.633,26.608,26.583,26.571,26.558,26.558,26.558,26.571,26.583,26.608,26.633,26.633,26.608,26.558,26.521,26.496,26.471,26.484,26.496,26.533,26.533,26.509,26.496,26.496,26.521,26.583,26.608,26.583,26.596,26.621,26.646,26.633,26.633,26.646,26.633,26.621,26.608,26.621,26.633,26.633,26.646,26.633,26.621,26.596,26.583,26.596,26.608,26.621,26.608,26.596,26.571,26.533,26.509,26.496,26.471,26.446,26.434,26.421,26.421,26.421,26.409,26.371,26.334,26.296,26.271,26.259,26.246,26.234,26.234
,26.334,26.384,26.484,26.533,26.521,26.509,26.496,26.509,26.521,26.546,26.571,26.596,26.596,26.596,26.583,26.558,26.533,26.521,26.521,26.521,26.533,26.533,26.521,26.509,26.496,26.509,26.533,26.521,26.459,26.446,26.496,26.509,26.484,26.471,26.471,26.496,26.521,26.533,26.521,26.509,26.484,26.496,26.509,26.521,26.496,26.496,26.496,26.484,26.459,26.496,26.571,26.608,26.596,26.583,26.596,26.621,26.621,26.621,26.596,26.583,26.583,26.558,26.533,26.521,26.533,26.546,26.571,26.596,26.621,26.633,26.621,26.608,26.596,26.583,26.583,26.596,26.633,26.621,26.571,26.533,26.533,26.533,26.533,26.558,26.583,26.571,26.546,26.558,26.621,26.608,26.558,26.533,26.546,26.558,26.558,26.546,26.533,26.546,26.583,26.583,26.546,26.521,26.509,26.521,26.533,26.558,26.558,26.571,26.571,26.571,26.596,26.608,26.608,26.608,26.608,26.596,26.608,26.633,26.67,26.708,26.745,26.757,26.77,26.733,26.658,26.571,26.496,26.446,26.409,26.384,26.384,26.446,26.533,26.571,26.546,26.533,26.533,26.521,26.484,26.496,26.546,26.571,26.558,26.571,26.596,26.608,26.621,26.608,26.596,26.596,26.621,26.621,26.596,26.571,26.546,26.546,26.571,26.558,26.521,26.471,26.409,26.334,26.271,26.271,26.334,26.359,26.346,26.359,26.409,26.446,26.459,26.509,26.571,26.546,26.446,26.396,26.396,26.384,26.359,26.371,26.396,26.371,26.284,26.259,26.284,26.334,26.359,26.321,26.234,26.171,26.159,26.159,26.159,26.134,26.096,26.084,26.109,26.121,26.146,26.184,26.246,26.321,26.409,26.459,26.484,26.496,26.509,26.546,26.596,26.621,26.633,26.621,26.621,26.621,26.646,26.658,26.658,26.646,26.633,26.621,26.608,26.621,26.646,26.658,26.658,26.646,26.633,26.633,26.646,26.683,26.72,26.733,26.733,26.708,26.683,26.658,26.658,26.658,26.67,26.695,26.745,26.733,26.683,26.646,26.646,26.646,26.658,26.67,26.67,26.67,26.67,26.658,26.646,26.621,26.583,26.571,26.571,26.571,26.571,26.596,26.646,26.67,26.658,26.621,26.583,26.533,26.509,26.509,26.521,26.546,26.558,26.546,26.509,26.471,26.446,26.484,26.558,26.596,26.596,26.621,26.658,26.67,26.67,26.658,26.658,26.646,26.646,26.67,26.708,26.708,26.67,26.658,26.683,26.67,26.621,26.583,26.583,26.608,26.646,26.658,26.646,26.596,26.533,26.496,26.484,26.484,26.471,26.446,26.409,26.396,26.409,26.396,26.371,26.309,26.234,26.234,26.296,26.321,26.284,26.271
,26.346,26.396,26.484,26.533,26.509,26.509,26.533,26.558,26.571,26.571,26.571,26.571,26.596,26.608,26.621,26.608,26.571,26.533,26.509,26.521,26.571,26.583,26.546,26.521,26.509,26.521,26.546,26.521,26.459,26.459,26.509,26.521,26.484,26.471,26.471,26.496,26.521,26.533,26.509,26.484,26.471,26.471,26.484,26.496,26.484,26.496,26.509,26.509,26.484,26.509,26.571,26.596,26.583,26.583,26.596,26.621,26.646,26.646,26.621,26.583,26.558,26.558,26.571,26.571,26.571,26.558,26.571,26.596,26.633,26.658,26.646,26.633,26.621,26.621,26.608,26.608,26.608,26.596,26.558,26.521,26.509,26.509,26.533,26.558,26.571,26.571,26.546,26.571,26.621,26.608,26.546,26.533,26.571,26.596,26.583,26.558,26.558,26.558,26.571,26.571,26.546,26.521,26.509,26.521,26.546,26.558,26.571,26.558,26.558,26.571,26.596,26.621,26.621,26.633,26.646,26.633,26.621,26.633,26.695,26.745,26.782,26.782,26.757,26.695,26.596,26.496,26.434,26.384,26.384,26.384,26.396,26.446,26.521,26.546,26.546,26.533,26.521,26.484,26.434,26.446,26.533,26.558,26.546,26.546,26.571,26.596,26.596,26.596,26.583,26.596,26.621,26.621,26.596,26.583,26.571,26.583,26.608,26.571,26.496,26.446,26.409,26.359,26.296,26.284,26.334,26.359,26.359,26.371,26.409,26.434,26.459,26.509,26.583,26.571,26.471,26.421,26.421,26.409,26.359,26.346,26.371,26.346,26.296,26.271,26.296,26.321,26.334,26.296,26.234,26.184,26.171,26.159,26.159,26.121,26.084,26.071,26.096,26.121,26.159,26.196,26.259,26.334,26.409,26.446,26.471,26.484,26.496,26.533,26.558,26.583,26.608,26.621,26.633,26.646,26.67,26.683,26.683,26.683,26.67,26.658,26.646,26.658,26.695,26.695,26.683,26.67,26.67,26.67,26.658,26.683,26.72,26.745,26.745,26.72,26.683,26.67,26.658,26.67,26.695,26.745,26.795,26.782,26.72,26.683,26.67,26.67,26.683,26.695,26.695,26.683,26.658,26.633,26.633,26.621,26.596,26.571,26.571,26.571,26.596,26.621,26.646,26.67,26.683,26.67,26.621,26.558,26.521,26.509,26.533,26.546,26.546,26.546,26.521,26.496,26.459,26.471,26.533,26.583,26.596,26.621,26.646,26.67,26.695,26.695,26.67,26.646,26.646,26.683,26.757,26.757,26.695,26.67,26.695,26.695,26.658,26.633,26.608,26.621,26.646,26.646,26.621,26.583,26.533,26.521,26.521,26.509,26.471,26.434,26.409,26.396,26.384,26.371,26.346,26.296,26.221,26.221,26.284,26.309,26.296,26.284
,26.409,26.434,26.484,26.496,26.496,26.521,26.571,26.621,26.621,26.608,26.583,26.558,26.546,26.583,26.633,26.646,26.621,26.583,26.546,26.558,26.596,26.608,26.558,26.521,26.509,26.509,26.509,26.509,26.496,26.496,26.521,26.509,26.484,26.471,26.484,26.496,26.484,26.484,26.496,26.484,26.471,26.459,26.471,26.484,26.496,26.509,26.521,26.533,26.533,26.521,26.509,26.533,26.571,26.596,26.596,26.596,26.608,26.621,26.608,26.596,26.558,26.558,26.596,26.608,26.596,26.596,26.596,26.583,26.583,26.596,26.621,26.633,26.646,26.658,26.658,26.633,26.583,26.546,26.533,26.521,26.496,26.496,26.521,26.521,26.521,26.521,26.533,26.558,26.583,26.571,26.533,26.546,26.621,26.633,26.583,26.558,26.558,26.558,26.558,26.521,26.484,26.484,26.521,26.546,26.546,26.546,26.558,26.558,26.558,26.583,26.596,26.608,26.621,26.633,26.658,26.658,26.646,26.67,26.757,26.82,26.857,26.82,26.733,26.633,26.509,26.409,26.359,26.346,26.371,26.396,26.409,26.446,26.496,26.533,26.533,26.533,26.521,26.484,26.434,26.446,26.521,26.558,26.546,26.546,26.571,26.583,26.583,26.583,26.583,26.608,26.658,26.646,26.596,26.558,26.571,26.608,26.621,26.571,26.459,26.409,26.421,26.409,26.359,26.334,26.334,26.346,26.359,26.371,26.396,26.421,26.459,26.509,26.546,26.533,26.509,26.484,26.484,26.446,26.396,26.359,26.359,26.346,26.309,26.309,26.334,26.334,26.296,26.271,26.246,26.221,26.209,26.184,26.171,26.134,26.096,26.096,26.121,26.159,26.184,26.221,26.259,26.321,26.396,26.459,26.484,26.509,26.533,26.533,26.509,26.533,26.583,26.633,26.658,26.67,26.67,26.67,26.683,26.683,26.708,26.708,26.708,26.72,26.745,26.733,26.72,26.72,26.72,26.708,26.67,26.67,26.708,26.733,26.745,26.733,26.708,26.683,26.695,26.708,26.733,26.77,26.82,26.807,26.757,26.72,26.708,26.695,26.683,26.695,26.683,26.658,26.608,26.583,26.583,26.596,26.583,26.571,26.571,26.596,26.646,26.646,26.608,26.621,26.708,26.72,26.658,26.583,26.521,26.496,26.496,26.509,26.521,26.533,26.546,26.546,26.521,26.509,26.521,26.558,26.583,26.608,26.608,26.646,26.708,26.72,26.67,26.633,26.633,26.67,26.733,26.745,26.695,26.658,26.67,26.695,26.72,26.72,26.67,26.633,26.621,26.583,26.533,26.533,26.571,26.583,26.571,26.521,26.459,26.409,26.396,26.384,26.371,26.334,26.309,26.284,26.271,26.259,26.234,26.246,26.271,26.284
,26.459,26.471,26.496,26.496,26.484,26.509,26.571,26.608,26.608,26.608,26.596,26.571,26.546,26.571,26.621,26.658,26.646,26.608,26.546,26.546,26.583,26.608,26.583,26.546,26.521,26.509,26.496,26.509,26.521,26.533,26.521,26.496,26.484,26.484,26.509,26.496,26.459,26.446,26.471,26.496,26.496,26.496,26.496,26.496,26.509,26.521,26.521,26.546,26.571,26.546,26.471,26.471,26.533,26.583,26.596,26.596,26.583,26.583,26.608,26.608,26.583,26.583,26.596,26.608,26.608,26.608,26.596,26.583,26.558,26.571,26.608,26.633,26.646,26.67,26.67,26.633,26.546,26.509,26.546,26.546,26.521,26.509,26.509,26.509,26.509,26.509,26.533,26.558,26.571,26.571,26.558,26.583,26.633,26.621,26.558,26.533,26.571,26.583,26.571,26.521,26.459,26.471,26.533,26.571,26.546,26.546,26.571,26.583,26.571,26.571,26.596,26.608,26.608,26.633,26.683,26.708,26.72,26.757,26.82,26.857,26.869,26.82,26.745,26.621,26.484,26.371,26.321,26.321,26.359,26.409,26.421,26.446,26.484,26.509,26.533,26.546,26.533,26.509,26.459,26.471,26.521,26.558,26.558,26.571,26.583,26.583,26.571,26.571,26.583,26.608,26.658,26.658,26.596,26.571,26.596,26.633,26.646,26.596,26.471,26.421,26.446,26.434,26.384,26.346,26.334,26.334,26.346,26.371,26.384,26.434,26.496,26.521,26.533,26.533,26.546,26.533,26.484,26.434,26.396,26.371,26.359,26.346,26.334,26.346,26.371,26.346,26.284,26.259,26.271,26.259,26.234,26.196,26.171,26.146,26.134,26.134,26.159,26.184,26.209,26.234,26.271,26.321,26.384,26.446,26.496,26.533,26.546,26.533,26.533,26.546,26.596,26.633,26.658,26.67,26.67,26.683,26.695,26.72,26.745,26.745,26.745,26.745,26.757,26.757,26.757,26.757,26.757,26.733,26.695,26.683,26.708,26.72,26.733,26.745,26.757,26.77,26.782,26.782,26.782,26.795,26.82,26.82,26.782,26.757,26.733,26.72,26.72,26.708,26.683,26.633,26.583,26.571,26.596,26.608,26.596,26.583,26.571,26.608,26.67,26.646,26.571,26.571,26.658,26.695,26.67,26.608,26.546,26.496,26.484,26.484,26.496,26.509,26.533,26.533,26.521,26.521,26.546,26.571,26.583,26.608,26.633,26.67,26.708,26.708,26.658,26.633,26.646,26.683,26.72,26.733,26.683,26.67,26.683,26.72,26.77,26.77,26.695,26.646,26.608,26.571,26.509,26.521,26.571,26.596,26.583,26.533,26.459,26.409,26.384,26.371,26.359,26.321,26.284,26.284,26.296,26.284,26.221,26.221,26.259,26.284
,26.471,26.496,26.521,26.521,26.496,26.509,26.533,26.546,26.546,26.571,26.608,26.608,26.583,26.583,26.608,26.633,26.646,26.608,26.533,26.509,26.546,26.583,26.596,26.583,26.546,26.521,26.509,26.509,26.533,26.533,26.496,26.484,26.484,26.496,26.533,26.521,26.484,26.459,26.459,26.496,26.546,26.558,26.558,26.546,26.533,26.521,26.521,26.546,26.583,26.546,26.459,26.434,26.496,26.558,26.608,26.621,26.571,26.571,26.608,26.633,26.621,26.608,26.596,26.583,26.596,26.596,26.583,26.571,26.558,26.583,26.621,26.633,26.646,26.646,26.658,26.608,26.509,26.496,26.583,26.608,26.571,26.533,26.509,26.509,26.521,26.533,26.533,26.558,26.596,26.621,26.608,26.608,26.608,26.583,26.533,26.521,26.571,26.608,26.621,26.571,26.484,26.484,26.558,26.583,26.546,26.558,26.608,26.621,26.571,26.558,26.583,26.608,26.608,26.646,26.695,26.757,26.82,26.857,26.857,26.844,26.82,26.807,26.77,26.67,26.509,26.371,26.309,26.296,26.346,26.396,26.446,26.471,26.471,26.496,26.533,26.558,26.558,26.533,26.496,26.496,26.546,26.583,26.596,26.608,26.596,26.583,26.571,26.571,26.596,26.621,26.658,26.658,26.633,26.621,26.621,26.658,26.683,26.646,26.546,26.484,26.471,26.434,26.384,26.359,26.346,26.346,26.334,26.346,26.396,26.459,26.521,26.558,26.558,26.571,26.596,26.546,26.446,26.384,26.384,26.371,26.359,26.359,26.359,26.384,26.396,26.371,26.296,26.271,26.284,26.284,26.259,26.221,26.171,26.159,26.159,26.171,26.209,26.209,26.196,26.221,26.284,26.334,26.384,26.434,26.496,26.533,26.546,26.558,26.596,26.621,26.633,26.633,26.646,26.658,26.683,26.708,26.745,26.77,26.782,26.77,26.757,26.745,26.745,26.77,26.782,26.782,26.757,26.745,26.757,26.745,26.72,26.708,26.708,26.757,26.832,26.882,26.907,26.882,26.832,26.807,26.807,26.807,26.795,26.77,26.757,26.757,26.782,26.757,26.683,26.633,26.621,26.633,26.658,26.646,26.621,26.596,26.583,26.608,26.658,26.646,26.571,26.546,26.571,26.621,26.658,26.646,26.596,26.533,26.509,26.496,26.496,26.484,26.484,26.471,26.471,26.509,26.583,26.621,26.596,26.621,26.695,26.72,26.708,26.67,26.633,26.646,26.695,26.733,26.733,26.708,26.67,26.683,26.733,26.77,26.795,26.757,26.695,26.646,26.621,26.583,26.546,26.533,26.546,26.558,26.533,26.509,26.484,26.434,26.371,26.346,26.346,26.334,26.296,26.284,26.296,26.296,26.259,26.246,26.271,26.284
,26.484,26.496,26.521,26.521,26.509,26.509,26.546,26.546,26.533,26.558,26.596,26.621,26.608,26.596,26.596,26.608,26.646,26.633,26.571,26.546,26.558,26.583,26.608,26.608,26.571,26.533,26.509,26.509,26.546,26.558,26.521,26.509,26.509,26.521,26.546,26.546,26.509,26.484,26.484,26.509,26.546,26.583,26.583,26.571,26.546,26.533,26.533,26.546,26.571,26.546,26.484,26.471,26.509,26.571,26.621,26.621,26.571,26.558,26.608,26.633,26.633,26.621,26.621,26.608,26.583,26.571,26.571,26.583,26.608,26.621,26.621,26.621,26.633,26.646,26.658,26.608,26.509,26.509,26.571,26.608,26.583,26.546,26.521,26.521,26.546,26.546,26.546,26.558,26.608,26.633,26.633,26.621,26.608,26.583,26.546,26.533,26.571,26.608,26.646,26.608,26.533,26.521,26.571,26.596,26.583,26.583,26.608,26.608,26.583,26.583,26.608,26.621,26.621,26.646,26.695,26.782,26.869,26.894,26.869,26.832,26.832,26.832,26.832,26.72,26.521,26.384,26.334,26.334,26.359,26.396,26.434,26.459,26.459,26.484,26.509,26.533,26.558,26.558,26.546,26.558,26.583,26.621,26.658,26.67,26.646,26.621,26.608,26.608,26.633,26.658,26.67,26.683,26.683,26.67,26.658,26.658,26.683,26.658,26.596,26.521,26.471,26.421,26.384,26.371,26.371,26.346,26.321,26.346,26.421,26.484,26.533,26.558,26.571,26.571,26.583,26.521,26.421,26.359,26.346,26.346,26.346,26.359,26.371,26.396,26.409,26.384,26.334,26.309,26.296,26.284,26.271,26.246,26.209,26.184,26.171,26.184,26.221,26.234,26.221,26.234,26.284,26.334,26.384,26.446,26.509,26.546,26.558,26.583,26.621,26.646,26.646,26.658,26.658,26.683,26.708,26.757,26.795,26.82,26.82,26.82,26.82,26.807,26.782,26.795,26.82,26.807,26.757,26.757,26.795,26.807,26.77,26.745,26.77,26.807,26.844,26.882,26.919,26.919,26.869,26.844,26.857,26.857,26.82,26.795,26.77,26.782,26.807,26.782,26.72,26.683,26.683,26.695,26.72,26.695,26.633,26.596,26.583,26.608,26.646,26.633,26.596,26.558,26.546,26.583,26.646,26.658,26.633,26.583,26.546,26.521,26.521,26.509,26.484,26.459,26.471,26.533,26.608,26.633,26.583,26.621,26.708,26.745,26.695,26.658,26.646,26.67,26.72,26.757,26.745,26.708,26.658,26.67,26.745,26.77,26.745,26.708,26.67,26.633,26.608,26.583,26.533,26.509,26.509,26.521,26.521,26.521,26.521,26.471,26.384,26.334,26.334,26.321,26.296,26.284,26.309,26.309,26.284,26.284,26.296,26.309
,26.496,26.496,26.521,26.521,26.509,26.533,26.583,26.596,26.583,26.571,26.583,26.596,26.596,26.583,26.571,26.596,26.633,26.67,26.67,26.658,26.608,26.596,26.608,26.608,26.596,26.546,26.496,26.509,26.558,26.596,26.596,26.571,26.546,26.546,26.571,26.558,26.533,26.509,26.521,26.521,26.521,26.533,26.583,26.583,26.546,26.533,26.558,26.571,26.546,26.533,26.521,26.533,26.571,26.608,26.621,26.621,26.583,26.583,26.608,26.608,26.608,26.633,26.67,26.646,26.583,26.546,26.571,26.621,26.67,26.67,26.621,26.608,26.633,26.658,26.67,26.633,26.571,26.533,26.533,26.546,26.558,26.558,26.533,26.533,26.558,26.571,26.571,26.583,26.608,26.633,26.633,26.633,26.621,26.608,26.583,26.571,26.571,26.596,26.621,26.621,26.596,26.583,26.583,26.608,26.646,26.633,26.571,26.558,26.608,26.646,26.67,26.658,26.633,26.646,26.708,26.795,26.869,26.882,26.857,26.857,26.894,26.919,26.894,26.757,26.521,26.396,26.384,26.384,26.371,26.384,26.396,26.421,26.446,26.471,26.484,26.509,26.533,26.571,26.608,26.621,26.621,26.658,26.733,26.745,26.695,26.67,26.658,26.67,26.695,26.708,26.72,26.733,26.745,26.733,26.683,26.658,26.646,26.633,26.608,26.558,26.471,26.409,26.396,26.396,26.384,26.359,26.334,26.359,26.446,26.496,26.509,26.521,26.546,26.546,26.521,26.484,26.434,26.371,26.309,26.296,26.321,26.359,26.371,26.384,26.384,26.384,26.384,26.346,26.309,26.284,26.284,26.296,26.284,26.246,26.184,26.171,26.221,26.259,26.284,26.284,26.271,26.309,26.409,26.471,26.521,26.558,26.583,26.608,26.608,26.621,26.646,26.683,26.708,26.733,26.77,26.807,26.832,26.857,26.869,26.894,26.919,26.919,26.869,26.857,26.857,26.832,26.782,26.77,26.82,26.844,26.82,26.844,26.882,26.869,26.807,26.795,26.844,26.882,26.907,26.931,26.956,26.944,26.882,26.82,26.782,26.782,26.807,26.807,26.782,26.757,26.745,26.757,26.757,26.72,26.646,26.596,26.583,26.596,26.633,26.646,26.633,26.608,26.596,26.608,26.633,26.646,26.646,26.633,26.596,26.571,26.583,26.558,26.521,26.521,26.546,26.583,26.621,26.608,26.571,26.596,26.67,26.708,26.695,26.683,26.683,26.695,26.733,26.757,26.757,26.72,26.658,26.658,26.695,26.708,26.67,26.633,26.621,26.608,26.596,26.546,26.471,26.446,26.471,26.521,26.546,26.558,26.546,26.496,26.409,26.346,26.309,26.296,26.284,26.296,26.321,26.321,26.296,26.296,26.321,26.346
,26.496,26.509,26.521,26.521,26.509,26.533,26.583,26.608,26.608,26.608,26.596,26.596,26.596,26.583,26.583,26.596,26.633,26.67,26.695,26.695,26.646,26.621,26.608,26.596,26.583,26.558,26.521,26.521,26.558,26.608,26.633,26.621,26.571,26.558,26.571,26.571,26.533,26.533,26.533,26.533,26.509,26.521,26.571,26.583,26.558,26.546,26.571,26.558,26.521,26.509,26.533,26.546,26.558,26.583,26.608,26.608,26.608,26.596,26.608,26.608,26.596,26.621,26.658,26.646,26.583,26.571,26.596,26.646,26.695,26.695,26.633,26.608,26.633,26.658,26.67,26.658,26.608,26.571,26.546,26.558,26.583,26.583,26.533,26.521,26.546,26.583,26.596,26.608,26.608,26.621,26.633,26.633,26.621,26.608,26.596,26.583,26.571,26.583,26.608,26.633,26.646,26.633,26.608,26.633,26.683,26.658,26.571,26.558,26.621,26.683,26.72,26.708,26.67,26.683,26.733,26.807,26.869,26.894,26.882,26.894,26.931,26.956,26.931,26.795,26.571,26.434,26.396,26.384,26.359,26.359,26.384,26.421,26.484,26.509,26.496,26.521,26.558,26.608,26.646,26.658,26.646,26.67,26.733,26.757,26.72,26.695,26.695,26.695,26.695,26.708,26.733,26.757,26.77,26.745,26.695,26.658,26.646,26.633,26.633,26.583,26.484,26.421,26.409,26.409,26.409,26.384,26.346,26.371,26.434,26.471,26.459,26.484,26.533,26.546,26.521,26.484,26.459,26.396,26.334,26.321,26.346,26.384,26.409,26.421,26.396,26.396,26.396,26.371,26.309,26.284,26.309,26.334,26.346,26.309,26.234,26.209,26.246,26.309,26.359,26.359,26.309,26.334,26.434,26.509,26.533,26.546,26.558,26.558,26.558,26.583,26.646,26.708,26.745,26.782,26.807,26.844,26.882,26.907,26.907,26.931,26.956,26.956,26.919,26.907,26.907,26.869,26.82,26.807,26.844,26.869,26.882,26.894,26.931,26.894,26.832,26.795,26.832,26.882,26.944,26.993,27.006,26.981,26.931,26.869,26.795,26.782,26.82,26.832,26.82,26.807,26.795,26.795,26.782,26.72,26.646,26.596,26.596,26.621,26.633,26.658,26.658,26.67,26.658,26.646,26.646,26.646,26.658,26.646,26.621,26.621,26.621,26.608,26.571,26.558,26.583,26.596,26.596,26.583,26.571,26.583,26.633,26.67,26.683,26.683,26.683,26.695,26.733,26.77,26.77,26.745,26.695,26.67,26.658,26.633,26.608,26.596,26.596,26.596,26.583,26.521,26.446,26.434,26.484,26.521,26.546,26.558,26.533,26.484,26.409,26.359,26.321,26.309,26.284,26.309,26.346,26.346,26.309,26.309,26.346,26.359
