Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.356,25.356,25.33,25.267,25.154,25.078,25.053,25.053,25.078,25.065,25.027,25.015,25.027,25.015,24.977,24.99,25.027,25.04,25.002,24.952,24.926,24.914,24.914,24.876,24.825,24.787,24.774,24.787,24.825,24.8,24.711,24.66,24.66,24.673,24.686,24.698,24.711,24.736,24.774,24.774,24.736,24.698,24.66,24.622,24.597,24.622,24.686,24.698,24.647,24.609,24.597,24.584,24.584,24.584,24.571,24.571,24.584,24.571,24.546,24.495,24.444,24.432,24.444,24.419,24.343,24.33,24.368,24.419,24.444,24.406,24.33,24.292,24.304,24.33,24.368,24.393,24.393,24.393,24.393,24.368,24.343,24.33,24.355,24.355,24.343,24.355,24.406,24.444,24.444,24.406,24.343,24.292,24.266,24.317,24.444,24.495,24.457,24.406,24.355,24.33,24.355,24.355,24.33,24.317,24.317,24.317,24.317,24.343,24.381,24.393,24.381,24.381,24.381,24.393,24.432,24.406,24.343,24.355,24.432,24.457,24.419,24.419,24.482,24.47,24.393,24.368,24.381,24.368,24.343,24.33,24.343,24.368,24.406,24.419,24.406,24.393,24.381,24.33,24.253,24.241,24.292,24.343,24.393,24.432,24.457,24.457,24.419,24.406,24.419,24.457,24.521,24.571,24.609,24.635,24.66,24.698,24.736,24.774,24.8,24.812,24.812,24.85,24.901,24.939,24.926,24.901,24.863,24.876,24.926,24.926,24.901,24.888,24.901,24.914,24.914,24.901,24.85,24.825,24.812,24.787,24.724,24.736,24.8,24.825,24.774,24.736,24.698,24.66,24.622,24.584,24.559,24.559,24.584,24.622,24.647,24.597,24.482,24.393,24.381,24.355,24.33,24.304,24.292,24.266,24.253,24.266,24.317,24.304,24.253,24.253,24.33,24.368,24.355,24.368,24.393,24.406,24.406,24.406,24.406,24.432,24.495,24.495,24.444,24.381,24.355,24.355,24.368,24.381,24.355,24.381,24.419,24.444,24.444,24.419,24.355,24.292,24.266,24.266,24.292,24.317,24.33,24.343,24.343,24.343,24.304,24.253,24.202,24.202,24.241,24.241,24.202,24.177,24.177,24.202,24.228,24.266,24.292,24.292,24.266,24.241,24.228,24.241,24.266,24.241,24.19,24.177,24.202,24.228,24.253,24.279,24.279,24.266,24.253,24.241,24.241,24.228,24.19,24.19,24.228,24.215,24.164,24.164,24.215,24.241,24.228,24.241,24.266,24.292,24.279,24.292,24.317,24.266,24.177,24.164,24.241,24.317,24.343,24.292,24.19,24.139,24.151,24.202,24.253,24.304,24.33,24.292,24.215,24.164,24.164,24.19,24.228,24.266,24.279,24.241,24.151,24.126,24.164,24.228,24.279,24.304
,25.255,25.242,25.23,25.154,25.065,24.99,24.964,24.964,24.977,24.99,24.977,24.977,24.977,24.952,24.914,24.926,24.977,24.99,24.952,24.901,24.863,24.863,24.888,24.876,24.812,24.762,24.736,24.736,24.762,24.749,24.711,24.686,24.686,24.686,24.66,24.673,24.686,24.711,24.736,24.724,24.698,24.66,24.635,24.609,24.571,24.584,24.66,24.686,24.635,24.597,24.571,24.559,24.571,24.571,24.559,24.559,24.546,24.546,24.521,24.495,24.444,24.432,24.432,24.406,24.355,24.33,24.343,24.381,24.406,24.393,24.355,24.33,24.33,24.33,24.343,24.368,24.381,24.393,24.381,24.355,24.343,24.343,24.368,24.381,24.381,24.393,24.432,24.444,24.419,24.393,24.343,24.304,24.304,24.343,24.419,24.457,24.444,24.406,24.343,24.33,24.355,24.368,24.343,24.317,24.317,24.317,24.317,24.343,24.368,24.393,24.393,24.393,24.381,24.381,24.406,24.393,24.368,24.381,24.444,24.47,24.444,24.444,24.495,24.47,24.406,24.368,24.381,24.368,24.343,24.33,24.343,24.355,24.368,24.381,24.393,24.393,24.381,24.343,24.292,24.279,24.292,24.33,24.368,24.406,24.432,24.432,24.406,24.393,24.419,24.457,24.495,24.546,24.584,24.622,24.66,24.686,24.724,24.762,24.8,24.825,24.838,24.863,24.888,24.914,24.914,24.901,24.888,24.888,24.926,24.926,24.901,24.876,24.888,24.914,24.914,24.888,24.838,24.812,24.812,24.787,24.736,24.724,24.774,24.787,24.774,24.749,24.724,24.673,24.609,24.571,24.571,24.571,24.584,24.609,24.635,24.584,24.47,24.393,24.368,24.343,24.317,24.292,24.292,24.279,24.266,24.279,24.317,24.317,24.292,24.304,24.343,24.368,24.368,24.368,24.393,24.406,24.406,24.393,24.406,24.419,24.457,24.457,24.432,24.393,24.355,24.343,24.368,24.368,24.355,24.355,24.381,24.406,24.406,24.381,24.33,24.304,24.292,24.292,24.292,24.304,24.33,24.33,24.33,24.317,24.279,24.241,24.202,24.202,24.215,24.215,24.215,24.215,24.202,24.202,24.215,24.228,24.253,24.266,24.279,24.266,24.241,24.241,24.253,24.253,24.202,24.19,24.202,24.228,24.253,24.266,24.279,24.279,24.253,24.241,24.228,24.202,24.19,24.19,24.228,24.215,24.151,24.139,24.177,24.215,24.241,24.253,24.241,24.253,24.266,24.279,24.279,24.253,24.202,24.19,24.228,24.266,24.292,24.266,24.202,24.151,24.164,24.202,24.266,24.292,24.292,24.253,24.202,24.177,24.177,24.202,24.253,24.279,24.279,24.241,24.177,24.151,24.19,24.241,24.292,24.317
,25.065,25.053,25.015,24.952,24.876,24.838,24.825,24.812,24.812,24.838,24.888,24.901,24.876,24.838,24.787,24.8,24.85,24.863,24.838,24.774,24.736,24.762,24.85,24.85,24.762,24.698,24.673,24.647,24.635,24.647,24.686,24.724,24.724,24.686,24.635,24.622,24.647,24.66,24.66,24.635,24.597,24.597,24.609,24.584,24.521,24.533,24.609,24.635,24.597,24.559,24.521,24.521,24.546,24.546,24.533,24.521,24.495,24.495,24.482,24.47,24.444,24.419,24.393,24.381,24.368,24.343,24.304,24.304,24.343,24.368,24.381,24.381,24.368,24.343,24.304,24.317,24.368,24.381,24.368,24.343,24.343,24.355,24.393,24.432,24.457,24.47,24.457,24.432,24.381,24.343,24.33,24.33,24.368,24.381,24.393,24.406,24.419,24.393,24.343,24.33,24.355,24.368,24.355,24.343,24.317,24.317,24.33,24.33,24.343,24.368,24.406,24.406,24.381,24.355,24.368,24.381,24.406,24.444,24.482,24.482,24.47,24.482,24.508,24.482,24.419,24.381,24.393,24.381,24.33,24.317,24.33,24.33,24.304,24.317,24.381,24.393,24.355,24.343,24.355,24.343,24.304,24.304,24.343,24.381,24.393,24.381,24.368,24.381,24.419,24.444,24.457,24.495,24.559,24.609,24.647,24.673,24.698,24.736,24.774,24.825,24.863,24.876,24.876,24.876,24.901,24.914,24.914,24.926,24.939,24.926,24.888,24.876,24.888,24.914,24.914,24.888,24.838,24.812,24.812,24.8,24.749,24.724,24.711,24.724,24.762,24.774,24.749,24.686,24.597,24.571,24.584,24.597,24.584,24.584,24.597,24.546,24.444,24.381,24.355,24.33,24.292,24.279,24.292,24.304,24.304,24.317,24.317,24.33,24.355,24.381,24.381,24.381,24.381,24.393,24.393,24.393,24.393,24.393,24.406,24.393,24.368,24.381,24.432,24.419,24.368,24.343,24.368,24.355,24.343,24.317,24.33,24.33,24.343,24.33,24.292,24.304,24.343,24.343,24.304,24.292,24.317,24.33,24.304,24.279,24.241,24.228,24.215,24.19,24.164,24.177,24.253,24.279,24.253,24.215,24.19,24.177,24.19,24.228,24.292,24.292,24.241,24.228,24.253,24.253,24.228,24.215,24.228,24.228,24.228,24.253,24.292,24.292,24.266,24.228,24.19,24.177,24.177,24.202,24.215,24.19,24.126,24.088,24.113,24.177,24.253,24.266,24.202,24.19,24.241,24.253,24.228,24.228,24.228,24.228,24.202,24.202,24.215,24.215,24.202,24.19,24.164,24.202,24.279,24.292,24.228,24.202,24.202,24.202,24.215,24.241,24.279,24.292,24.279,24.253,24.228,24.215,24.215,24.253,24.292,24.317
,24.914,24.888,24.838,24.8,24.762,24.736,24.724,24.711,24.724,24.749,24.8,24.8,24.774,24.736,24.711,24.724,24.762,24.762,24.711,24.686,24.673,24.711,24.8,24.8,24.724,24.66,24.635,24.597,24.571,24.597,24.647,24.686,24.686,24.66,24.622,24.609,24.609,24.609,24.597,24.571,24.546,24.546,24.571,24.559,24.508,24.508,24.571,24.584,24.571,24.521,24.482,24.47,24.482,24.495,24.495,24.482,24.47,24.457,24.457,24.457,24.444,24.419,24.381,24.368,24.368,24.343,24.292,24.266,24.292,24.317,24.355,24.368,24.368,24.343,24.304,24.317,24.381,24.406,24.381,24.355,24.343,24.355,24.381,24.432,24.47,24.482,24.444,24.406,24.368,24.33,24.33,24.355,24.393,24.393,24.355,24.355,24.381,24.381,24.343,24.33,24.343,24.355,24.368,24.355,24.33,24.317,24.33,24.33,24.317,24.33,24.368,24.381,24.355,24.343,24.343,24.368,24.419,24.457,24.482,24.482,24.482,24.495,24.508,24.495,24.444,24.406,24.393,24.355,24.304,24.279,24.292,24.292,24.266,24.304,24.368,24.381,24.343,24.33,24.355,24.355,24.304,24.304,24.343,24.368,24.368,24.355,24.343,24.368,24.419,24.444,24.432,24.457,24.533,24.597,24.622,24.635,24.66,24.686,24.724,24.774,24.825,24.85,24.838,24.85,24.888,24.914,24.926,24.939,24.964,24.952,24.901,24.876,24.888,24.901,24.901,24.876,24.838,24.825,24.812,24.8,24.774,24.736,24.711,24.711,24.749,24.762,24.749,24.686,24.597,24.571,24.597,24.609,24.584,24.571,24.571,24.521,24.444,24.368,24.343,24.304,24.279,24.279,24.292,24.317,24.33,24.33,24.33,24.355,24.381,24.406,24.393,24.393,24.393,24.393,24.406,24.393,24.381,24.381,24.406,24.393,24.355,24.368,24.419,24.419,24.368,24.355,24.368,24.355,24.33,24.317,24.317,24.317,24.317,24.292,24.253,24.279,24.355,24.355,24.292,24.279,24.304,24.304,24.266,24.228,24.202,24.202,24.215,24.215,24.19,24.215,24.266,24.279,24.241,24.202,24.177,24.151,24.164,24.202,24.279,24.279,24.228,24.215,24.241,24.241,24.228,24.241,24.253,24.253,24.228,24.228,24.266,24.292,24.279,24.266,24.228,24.215,24.202,24.19,24.177,24.151,24.113,24.1,24.113,24.164,24.253,24.253,24.177,24.177,24.241,24.253,24.228,24.228,24.241,24.241,24.202,24.177,24.177,24.177,24.177,24.177,24.19,24.215,24.266,24.266,24.202,24.19,24.215,24.241,24.266,24.279,24.266,24.266,24.266,24.266,24.253,24.253,24.266,24.266,24.279,24.292
,24.812,24.787,24.749,24.724,24.724,24.711,24.673,24.686,24.736,24.749,24.711,24.686,24.66,24.66,24.686,24.698,24.698,24.673,24.622,24.609,24.66,24.711,24.749,24.736,24.673,24.635,24.609,24.597,24.584,24.597,24.597,24.609,24.597,24.609,24.635,24.635,24.597,24.584,24.584,24.559,24.521,24.521,24.533,24.546,24.521,24.533,24.546,24.559,24.546,24.508,24.482,24.444,24.419,24.419,24.457,24.47,24.47,24.457,24.457,24.444,24.432,24.419,24.393,24.381,24.381,24.343,24.292,24.266,24.253,24.266,24.292,24.304,24.33,24.33,24.317,24.355,24.419,24.444,24.419,24.381,24.343,24.33,24.343,24.381,24.419,24.419,24.393,24.381,24.368,24.343,24.33,24.343,24.381,24.381,24.33,24.317,24.343,24.368,24.368,24.343,24.304,24.317,24.355,24.368,24.317,24.317,24.355,24.343,24.279,24.266,24.304,24.33,24.33,24.33,24.343,24.368,24.406,24.432,24.457,24.47,24.457,24.47,24.482,24.495,24.495,24.444,24.368,24.304,24.266,24.241,24.228,24.241,24.279,24.317,24.343,24.343,24.317,24.304,24.317,24.304,24.292,24.304,24.355,24.381,24.355,24.343,24.343,24.368,24.432,24.444,24.432,24.457,24.546,24.597,24.597,24.597,24.609,24.622,24.647,24.686,24.749,24.8,24.812,24.85,24.888,24.914,24.914,24.952,25.002,24.99,24.939,24.888,24.876,24.876,24.876,24.876,24.863,24.85,24.812,24.8,24.787,24.774,24.749,24.736,24.724,24.724,24.724,24.673,24.597,24.571,24.609,24.609,24.597,24.571,24.559,24.521,24.444,24.381,24.317,24.292,24.292,24.292,24.292,24.304,24.317,24.33,24.355,24.368,24.368,24.368,24.393,24.406,24.393,24.406,24.406,24.406,24.393,24.381,24.393,24.393,24.406,24.406,24.406,24.393,24.368,24.368,24.381,24.355,24.33,24.33,24.368,24.368,24.343,24.279,24.228,24.241,24.33,24.343,24.279,24.253,24.292,24.292,24.241,24.202,24.177,24.177,24.215,24.266,24.292,24.304,24.266,24.228,24.19,24.177,24.164,24.164,24.177,24.202,24.241,24.241,24.215,24.202,24.228,24.228,24.215,24.228,24.279,24.279,24.228,24.202,24.228,24.266,24.304,24.317,24.317,24.292,24.253,24.19,24.126,24.113,24.126,24.151,24.164,24.19,24.228,24.228,24.19,24.202,24.266,24.279,24.266,24.241,24.241,24.241,24.228,24.215,24.19,24.164,24.139,24.151,24.215,24.241,24.241,24.228,24.215,24.228,24.241,24.279,24.317,24.304,24.228,24.215,24.241,24.266,24.279,24.292,24.304,24.292,24.266,24.241
,24.711,24.698,24.686,24.686,24.698,24.673,24.622,24.635,24.711,24.711,24.647,24.609,24.597,24.609,24.635,24.647,24.647,24.597,24.533,24.546,24.622,24.66,24.647,24.622,24.609,24.597,24.584,24.571,24.559,24.559,24.559,24.559,24.571,24.609,24.647,24.647,24.597,24.571,24.559,24.533,24.508,24.495,24.521,24.521,24.521,24.533,24.533,24.533,24.521,24.495,24.47,24.432,24.393,24.393,24.419,24.457,24.482,24.482,24.457,24.444,24.432,24.432,24.406,24.393,24.381,24.343,24.292,24.253,24.228,24.241,24.253,24.266,24.279,24.292,24.33,24.368,24.406,24.406,24.381,24.355,24.33,24.317,24.304,24.317,24.355,24.355,24.33,24.33,24.355,24.368,24.343,24.343,24.368,24.368,24.343,24.343,24.355,24.368,24.368,24.343,24.304,24.304,24.355,24.368,24.33,24.317,24.317,24.292,24.253,24.241,24.279,24.317,24.33,24.343,24.355,24.368,24.393,24.419,24.444,24.444,24.432,24.432,24.444,24.482,24.495,24.432,24.33,24.266,24.253,24.241,24.215,24.228,24.292,24.33,24.33,24.317,24.304,24.279,24.279,24.266,24.266,24.304,24.368,24.393,24.355,24.343,24.355,24.393,24.419,24.432,24.444,24.482,24.533,24.571,24.559,24.571,24.584,24.597,24.609,24.647,24.711,24.774,24.8,24.838,24.888,24.914,24.926,24.964,25.002,24.99,24.939,24.901,24.888,24.876,24.863,24.876,24.876,24.863,24.825,24.787,24.774,24.762,24.762,24.749,24.724,24.711,24.698,24.647,24.584,24.571,24.609,24.622,24.609,24.584,24.559,24.521,24.47,24.393,24.33,24.292,24.279,24.279,24.279,24.292,24.304,24.33,24.355,24.368,24.355,24.355,24.368,24.381,24.393,24.393,24.406,24.406,24.381,24.381,24.381,24.393,24.419,24.406,24.393,24.381,24.393,24.393,24.393,24.381,24.355,24.368,24.393,24.393,24.368,24.317,24.253,24.266,24.317,24.317,24.279,24.266,24.279,24.279,24.241,24.202,24.177,24.177,24.202,24.266,24.317,24.304,24.228,24.177,24.177,24.177,24.19,24.19,24.19,24.19,24.215,24.215,24.19,24.19,24.228,24.228,24.19,24.215,24.279,24.279,24.228,24.215,24.228,24.253,24.292,24.317,24.33,24.317,24.292,24.215,24.139,24.113,24.164,24.19,24.177,24.177,24.19,24.202,24.215,24.228,24.253,24.266,24.266,24.253,24.228,24.228,24.241,24.228,24.19,24.151,24.126,24.151,24.228,24.253,24.228,24.228,24.241,24.241,24.241,24.266,24.317,24.292,24.202,24.177,24.215,24.253,24.266,24.279,24.304,24.292,24.241,24.215
,24.622,24.622,24.635,24.647,24.66,24.609,24.546,24.546,24.622,24.647,24.597,24.571,24.559,24.559,24.571,24.584,24.584,24.546,24.482,24.482,24.546,24.559,24.521,24.508,24.521,24.533,24.559,24.533,24.495,24.482,24.521,24.559,24.597,24.635,24.66,24.647,24.609,24.571,24.533,24.508,24.47,24.47,24.508,24.508,24.495,24.495,24.508,24.521,24.495,24.482,24.457,24.432,24.406,24.393,24.406,24.444,24.508,24.521,24.47,24.444,24.444,24.432,24.419,24.393,24.381,24.343,24.279,24.241,24.228,24.241,24.279,24.279,24.241,24.253,24.317,24.355,24.355,24.33,24.292,24.279,24.292,24.292,24.266,24.266,24.304,24.292,24.253,24.279,24.343,24.368,24.343,24.343,24.355,24.368,24.393,24.406,24.406,24.381,24.355,24.33,24.317,24.33,24.355,24.355,24.343,24.304,24.241,24.215,24.215,24.253,24.304,24.343,24.368,24.381,24.381,24.381,24.381,24.406,24.432,24.432,24.393,24.381,24.419,24.444,24.444,24.393,24.292,24.253,24.279,24.279,24.253,24.253,24.279,24.317,24.343,24.33,24.304,24.266,24.241,24.241,24.266,24.317,24.368,24.381,24.343,24.343,24.393,24.419,24.406,24.419,24.47,24.508,24.508,24.521,24.521,24.559,24.597,24.622,24.609,24.647,24.736,24.787,24.8,24.825,24.876,24.926,24.952,24.964,24.952,24.926,24.901,24.888,24.901,24.901,24.888,24.876,24.876,24.863,24.838,24.787,24.724,24.698,24.711,24.736,24.736,24.711,24.673,24.622,24.571,24.571,24.609,24.635,24.622,24.584,24.546,24.508,24.482,24.432,24.355,24.292,24.253,24.241,24.253,24.279,24.317,24.33,24.33,24.343,24.368,24.355,24.33,24.343,24.368,24.393,24.393,24.381,24.381,24.381,24.381,24.393,24.381,24.381,24.381,24.393,24.419,24.419,24.406,24.406,24.406,24.406,24.393,24.381,24.368,24.368,24.343,24.33,24.317,24.317,24.304,24.304,24.292,24.279,24.253,24.228,24.202,24.202,24.202,24.215,24.241,24.228,24.177,24.164,24.19,24.215,24.228,24.215,24.19,24.19,24.202,24.202,24.164,24.19,24.241,24.241,24.19,24.19,24.241,24.266,24.241,24.241,24.266,24.279,24.253,24.253,24.266,24.279,24.304,24.266,24.19,24.164,24.202,24.202,24.151,24.126,24.164,24.202,24.241,24.241,24.228,24.215,24.228,24.228,24.215,24.228,24.228,24.215,24.177,24.164,24.164,24.19,24.215,24.241,24.241,24.253,24.253,24.241,24.215,24.228,24.253,24.241,24.19,24.164,24.19,24.215,24.241,24.253,24.279,24.266,24.241,24.228
,24.584,24.584,24.571,24.571,24.559,24.521,24.47,24.482,24.533,24.571,24.546,24.521,24.508,24.508,24.533,24.546,24.546,24.521,24.495,24.482,24.482,24.47,24.444,24.444,24.482,24.521,24.546,24.521,24.47,24.47,24.533,24.571,24.597,24.622,24.635,24.622,24.597,24.559,24.546,24.521,24.482,24.482,24.521,24.508,24.47,24.457,24.47,24.482,24.495,24.482,24.47,24.444,24.419,24.406,24.406,24.444,24.508,24.521,24.482,24.444,24.444,24.432,24.419,24.393,24.355,24.317,24.279,24.253,24.241,24.253,24.292,24.292,24.253,24.266,24.33,24.355,24.317,24.279,24.241,24.241,24.279,24.279,24.266,24.266,24.292,24.279,24.253,24.253,24.304,24.343,24.355,24.355,24.368,24.381,24.406,24.419,24.406,24.393,24.381,24.355,24.33,24.33,24.355,24.381,24.368,24.317,24.215,24.19,24.228,24.266,24.304,24.355,24.393,24.419,24.406,24.393,24.381,24.381,24.381,24.381,24.355,24.368,24.419,24.432,24.406,24.355,24.292,24.266,24.279,24.279,24.266,24.279,24.292,24.317,24.317,24.317,24.292,24.253,24.228,24.228,24.253,24.292,24.33,24.343,24.343,24.368,24.406,24.419,24.406,24.419,24.47,24.508,24.508,24.495,24.508,24.546,24.609,24.635,24.622,24.66,24.749,24.8,24.8,24.812,24.85,24.888,24.926,24.939,24.926,24.901,24.876,24.876,24.901,24.901,24.876,24.863,24.876,24.876,24.863,24.8,24.711,24.673,24.698,24.711,24.698,24.673,24.647,24.609,24.571,24.571,24.584,24.609,24.609,24.597,24.559,24.521,24.508,24.444,24.355,24.292,24.253,24.241,24.253,24.279,24.304,24.33,24.33,24.343,24.368,24.368,24.33,24.33,24.368,24.393,24.393,24.381,24.368,24.381,24.406,24.406,24.381,24.368,24.368,24.393,24.432,24.444,24.432,24.419,24.419,24.406,24.381,24.368,24.368,24.381,24.393,24.368,24.317,24.304,24.33,24.343,24.304,24.279,24.266,24.253,24.228,24.215,24.228,24.228,24.215,24.177,24.151,24.151,24.19,24.228,24.253,24.241,24.202,24.19,24.202,24.202,24.202,24.215,24.253,24.253,24.215,24.202,24.228,24.241,24.228,24.228,24.266,24.266,24.228,24.215,24.228,24.253,24.279,24.253,24.19,24.177,24.19,24.164,24.113,24.1,24.126,24.19,24.266,24.266,24.215,24.202,24.215,24.228,24.215,24.215,24.228,24.215,24.19,24.177,24.202,24.215,24.202,24.215,24.266,24.279,24.253,24.215,24.19,24.19,24.228,24.228,24.215,24.19,24.177,24.202,24.241,24.266,24.279,24.266,24.266,24.253
,24.546,24.521,24.47,24.444,24.432,24.419,24.419,24.432,24.47,24.495,24.495,24.47,24.457,24.47,24.521,24.533,24.521,24.521,24.533,24.521,24.457,24.419,24.419,24.444,24.495,24.533,24.546,24.546,24.521,24.533,24.571,24.597,24.584,24.584,24.597,24.584,24.571,24.559,24.571,24.559,24.508,24.508,24.546,24.521,24.444,24.406,24.419,24.444,24.482,24.495,24.482,24.457,24.419,24.419,24.444,24.47,24.482,24.482,24.47,24.457,24.444,24.432,24.406,24.381,24.33,24.292,24.279,24.279,24.279,24.279,24.292,24.292,24.317,24.343,24.368,24.355,24.304,24.266,24.253,24.253,24.279,24.292,24.304,24.317,24.304,24.304,24.292,24.279,24.266,24.292,24.343,24.381,24.393,24.381,24.355,24.355,24.368,24.393,24.419,24.393,24.343,24.33,24.368,24.393,24.393,24.343,24.241,24.215,24.253,24.279,24.279,24.317,24.393,24.432,24.406,24.381,24.368,24.343,24.304,24.304,24.343,24.406,24.457,24.457,24.393,24.343,24.33,24.292,24.253,24.241,24.253,24.279,24.317,24.317,24.292,24.266,24.266,24.253,24.228,24.215,24.228,24.241,24.253,24.304,24.355,24.393,24.406,24.406,24.406,24.419,24.444,24.482,24.508,24.521,24.521,24.546,24.597,24.622,24.609,24.647,24.736,24.8,24.812,24.812,24.8,24.825,24.863,24.901,24.914,24.901,24.863,24.863,24.888,24.888,24.838,24.838,24.876,24.901,24.888,24.825,24.749,24.698,24.698,24.673,24.635,24.609,24.622,24.622,24.597,24.559,24.546,24.559,24.597,24.609,24.584,24.546,24.508,24.432,24.33,24.279,24.292,24.304,24.304,24.304,24.304,24.317,24.355,24.368,24.368,24.355,24.343,24.355,24.381,24.393,24.406,24.381,24.355,24.368,24.432,24.444,24.419,24.381,24.355,24.381,24.432,24.457,24.457,24.432,24.406,24.381,24.368,24.368,24.368,24.381,24.381,24.355,24.292,24.292,24.355,24.355,24.292,24.266,24.266,24.266,24.241,24.241,24.279,24.279,24.241,24.202,24.164,24.151,24.164,24.202,24.241,24.253,24.228,24.202,24.202,24.215,24.253,24.279,24.279,24.266,24.266,24.241,24.228,24.202,24.202,24.202,24.215,24.228,24.215,24.215,24.228,24.241,24.215,24.19,24.151,24.126,24.113,24.1,24.1,24.1,24.1,24.177,24.279,24.304,24.241,24.215,24.241,24.241,24.202,24.19,24.228,24.228,24.215,24.215,24.228,24.215,24.177,24.202,24.266,24.279,24.228,24.177,24.164,24.177,24.228,24.241,24.241,24.228,24.19,24.202,24.266,24.304,24.304,24.292,24.292,24.292
