Parameters:	Emissivity:	0.95																																																																																																																																																																																																																																																																																																																													
	Distance:	1.0 m																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																															
	18.555	18.555	18.569	18.569	18.555	18.528	18.475	18.394	18.312	18.299	18.34	18.353	18.326	18.299	18.272	18.272	18.299	18.299	18.272	18.326	18.421	18.502	18.542	18.677	18.905	19.08	19.187	19.348	19.535	19.628	19.601	19.615	19.655	19.695	19.735	19.775	19.788	19.841	19.894	19.894	19.854	19.854	19.921	19.921	19.868	19.868	19.934	19.961	19.961	19.961	19.974	20.001	20.027	20.014	19.987	19.987	20.001	20.027	20.027	19.987	19.934	19.921	19.948	19.974	19.961	20.001	20.094	20.133	20.107	20.04	19.948	19.894	19.881	19.908	19.961	19.987	19.974	19.921	19.828	19.775	19.761	19.775	19.828	19.854	19.868	19.894	19.934	19.948	19.921	19.921	19.934	19.934	19.921	19.894	19.854	19.854	19.894	19.908	19.894	19.894	19.921	19.961	20.014	20.001	19.908	19.868	19.881	19.894	19.894	19.881	19.854	19.868	19.908	19.894	19.814	19.814	19.894	19.948	19.961	19.961	19.961	19.974	20.001	19.961	19.894	19.881	19.921	19.948	19.934	19.934	19.974	19.974	19.934	19.908	19.894	19.881	19.868	19.881	19.921	19.921	19.894	19.894	19.934	19.934	19.894	19.841	19.814	19.814	19.854	19.868	19.854	19.841	19.828	19.854	19.894	19.908	19.894	19.868	19.828	19.801	19.801	19.814	19.828	19.854	19.894	19.881	19.814	19.775	19.788	19.775	19.761	19.788	19.841	19.868	19.841	19.841	19.881	19.868	19.788	19.735	19.721	19.761	19.854	19.868	19.841	19.841	19.881	19.894	19.854	19.801	19.748	19.735	19.775	19.828	19.881	19.894	19.854	19.854	19.894	19.868	19.788	19.748	19.775	19.801	19.814	19.814	19.801	19.801	19.828	19.828	19.788	19.788	19.828	19.868	19.908	19.921	19.908	19.881	19.854	19.828	19.788	19.775	19.761	19.735	19.695	19.668	19.641	19.681	19.761	19.854	19.921	19.961	19.987	20.014	20.027	20.04	20.027	20.08	20.16	20.2	20.2	20.213	20.213	20.213	20.2	20.2	20.2	20.213	20.226	20.253	20.266	20.266	20.266	20.253	20.253	20.253	20.266	20.292	20.319	20.319	20.306	20.332	20.398	20.425	20.385	20.332	20.279	20.306	20.398	20.438	20.412	20.412	20.451	20.438	20.412	20.372	20.385	20.478	20.663	20.86	21.045	21.11	21.045	20.953	20.86	20.715	20.531	20.438	20.451	20.438	20.398	20.438	20.544	20.583	20.557	20.531	20.531	20.544	20.583	20.61	20.636	20.636	20.649	20.702	20.808	20.926	21.058	21.176	21.268	21.307	21.294	21.281	21.268	21.268	21.268	21.268	21.242	21.255	21.281
	18.569	18.582	18.596	18.596	18.569	18.528	18.475	18.407	18.326	18.299	18.312	18.326	18.312	18.285	18.272	18.272	18.299	18.312	18.312	18.353	18.421	18.475	18.528	18.65	18.838	19.04	19.241	19.428	19.588	19.655	19.641	19.641	19.668	19.708	19.761	19.775	19.775	19.801	19.854	19.868	19.868	19.881	19.908	19.908	19.881	19.894	19.948	19.974	19.961	19.961	19.974	20.001	20.014	20.001	19.961	19.961	19.987	20.014	20.014	19.974	19.921	19.921	19.961	19.987	19.987	20.027	20.094	20.107	20.08	20.04	19.987	19.948	19.921	19.934	20.001	20.014	19.987	19.934	19.868	19.828	19.828	19.841	19.854	19.868	19.881	19.894	19.921	19.934	19.908	19.908	19.908	19.908	19.921	19.908	19.881	19.881	19.908	19.921	19.908	19.894	19.921	19.961	20.001	19.987	19.921	19.881	19.894	19.894	19.881	19.868	19.854	19.868	19.908	19.881	19.814	19.828	19.908	19.961	19.961	19.961	19.974	19.961	19.961	19.934	19.908	19.908	19.934	19.934	19.921	19.908	19.934	19.934	19.921	19.894	19.868	19.854	19.868	19.868	19.881	19.881	19.881	19.894	19.921	19.921	19.881	19.841	19.801	19.814	19.854	19.868	19.841	19.841	19.854	19.881	19.881	19.881	19.868	19.868	19.854	19.841	19.828	19.828	19.841	19.868	19.894	19.881	19.814	19.788	19.788	19.788	19.761	19.788	19.828	19.841	19.828	19.841	19.854	19.841	19.801	19.761	19.761	19.788	19.841	19.854	19.814	19.814	19.854	19.854	19.841	19.801	19.775	19.761	19.788	19.814	19.854	19.868	19.854	19.854	19.868	19.854	19.814	19.788	19.801	19.814	19.828	19.814	19.788	19.788	19.814	19.814	19.801	19.801	19.841	19.881	19.908	19.921	19.908	19.894	19.868	19.828	19.775	19.748	19.748	19.735	19.695	19.681	19.668	19.708	19.788	19.854	19.921	19.961	19.987	20.014	20.027	20.027	20.027	20.067	20.12	20.16	20.186	20.2	20.186	20.186	20.2	20.2	20.186	20.2	20.239	20.253	20.253	20.266	20.292	20.279	20.253	20.253	20.279	20.306	20.332	20.319	20.292	20.332	20.398	20.412	20.372	20.319	20.292	20.306	20.359	20.385	20.385	20.398	20.425	20.425	20.385	20.359	20.385	20.465	20.597	20.781	20.979	21.031	20.966	20.887	20.808	20.663	20.491	20.412	20.412	20.425	20.412	20.451	20.517	20.557	20.557	20.531	20.517	20.531	20.57	20.597	20.623	20.623	20.61	20.689	20.847	20.979	21.071	21.15	21.242	21.294	21.333	21.32	21.294	21.268	21.268	21.255	21.255	21.242	21.255
	18.596	18.609	18.636	18.636	18.582	18.528	18.488	18.421	18.353	18.299	18.285	18.272	18.272	18.272	18.272	18.285	18.312	18.34	18.367	18.394	18.421	18.448	18.515	18.596	18.731	18.986	19.334	19.575	19.668	19.695	19.695	19.695	19.695	19.735	19.788	19.801	19.761	19.761	19.788	19.828	19.881	19.908	19.908	19.908	19.908	19.934	19.961	19.974	19.961	19.961	19.974	19.987	20.001	19.974	19.921	19.921	19.974	20.001	19.987	19.961	19.934	19.934	19.974	20.014	20.04	20.067	20.094	20.067	20.027	20.014	20.054	20.04	19.974	19.987	20.054	20.067	20.027	19.961	19.921	19.908	19.948	19.948	19.908	19.894	19.894	19.894	19.908	19.908	19.894	19.881	19.868	19.881	19.908	19.921	19.921	19.921	19.948	19.934	19.908	19.894	19.908	19.948	19.974	19.974	19.934	19.921	19.934	19.908	19.854	19.841	19.854	19.868	19.881	19.868	19.828	19.841	19.921	19.961	19.961	19.974	19.987	19.948	19.894	19.881	19.921	19.948	19.948	19.921	19.894	19.868	19.854	19.868	19.894	19.881	19.828	19.814	19.854	19.854	19.828	19.828	19.841	19.868	19.894	19.894	19.868	19.828	19.801	19.814	19.854	19.868	19.828	19.841	19.908	19.908	19.854	19.828	19.828	19.868	19.921	19.908	19.854	19.841	19.868	19.894	19.894	19.868	19.828	19.801	19.801	19.788	19.788	19.788	19.788	19.814	19.828	19.814	19.801	19.788	19.801	19.814	19.828	19.828	19.828	19.814	19.788	19.775	19.788	19.801	19.801	19.814	19.814	19.814	19.814	19.801	19.801	19.828	19.854	19.854	19.841	19.828	19.854	19.854	19.841	19.841	19.841	19.828	19.788	19.775	19.775	19.788	19.814	19.841	19.868	19.881	19.894	19.908	19.921	19.934	19.908	19.828	19.735	19.695	19.721	19.721	19.708	19.708	19.735	19.775	19.814	19.868	19.921	19.961	19.987	20.014	20.027	20.027	20.04	20.04	20.054	20.094	20.16	20.173	20.147	20.147	20.186	20.2	20.186	20.2	20.239	20.266	20.253	20.292	20.345	20.332	20.266	20.239	20.279	20.319	20.332	20.319	20.279	20.306	20.385	20.412	20.345	20.319	20.319	20.306	20.292	20.292	20.319	20.359	20.385	20.372	20.332	20.332	20.385	20.438	20.491	20.623	20.808	20.887	20.821	20.742	20.676	20.57	20.425	20.359	20.359	20.398	20.425	20.451	20.478	20.504	20.544	20.544	20.517	20.504	20.544	20.57	20.597	20.57	20.544	20.663	20.9	21.045	21.071	21.097	21.176	21.268	21.373	21.373	21.307	21.242	21.229	21.229	21.242	21.229	21.189
	18.609	18.623	18.65	18.65	18.623	18.569	18.488	18.434	18.394	18.34	18.272	18.245	18.245	18.258	18.258	18.272	18.312	18.34	18.367	18.38	18.407	18.434	18.502	18.582	18.731	19.013	19.388	19.628	19.681	19.708	19.721	19.735	19.735	19.761	19.788	19.801	19.788	19.788	19.801	19.841	19.894	19.908	19.894	19.894	19.921	19.948	19.961	19.961	19.948	19.948	19.961	19.987	19.987	19.948	19.894	19.894	19.948	19.974	19.974	19.948	19.948	19.961	20.001	20.027	20.04	20.067	20.067	20.054	20.014	20.014	20.04	20.04	19.987	20.001	20.067	20.08	20.04	19.987	19.961	19.948	19.974	19.974	19.934	19.908	19.894	19.894	19.908	19.908	19.894	19.881	19.881	19.881	19.894	19.921	19.921	19.934	19.948	19.934	19.908	19.894	19.908	19.921	19.948	19.961	19.961	19.961	19.974	19.948	19.868	19.841	19.854	19.854	19.854	19.841	19.828	19.854	19.894	19.921	19.934	19.961	19.974	19.934	19.854	19.841	19.908	19.948	19.948	19.934	19.921	19.881	19.854	19.854	19.868	19.854	19.814	19.814	19.854	19.854	19.801	19.801	19.841	19.868	19.868	19.854	19.828	19.814	19.801	19.828	19.854	19.854	19.828	19.841	19.908	19.908	19.868	19.841	19.841	19.881	19.934	19.934	19.881	19.868	19.908	19.908	19.894	19.868	19.841	19.828	19.801	19.801	19.801	19.801	19.814	19.828	19.828	19.801	19.775	19.775	19.814	19.854	19.854	19.854	19.828	19.801	19.775	19.761	19.775	19.775	19.788	19.814	19.841	19.854	19.828	19.814	19.814	19.814	19.841	19.828	19.788	19.801	19.868	19.894	19.881	19.854	19.854	19.828	19.801	19.775	19.788	19.814	19.854	19.894	19.921	19.921	19.894	19.894	19.908	19.921	19.908	19.841	19.721	19.668	19.695	19.708	19.721	19.748	19.788	19.828	19.854	19.894	19.934	19.974	19.987	20.014	20.04	20.054	20.054	20.054	20.027	20.054	20.12	20.133	20.107	20.12	20.173	20.2	20.186	20.186	20.226	20.253	20.279	20.319	20.359	20.345	20.292	20.266	20.279	20.306	20.332	20.319	20.279	20.292	20.359	20.385	20.359	20.359	20.359	20.332	20.279	20.266	20.292	20.332	20.345	20.345	20.319	20.332	20.385	20.398	20.398	20.491	20.636	20.702	20.689	20.636	20.583	20.491	20.385	20.332	20.332	20.359	20.398	20.412	20.412	20.451	20.504	20.517	20.504	20.504	20.531	20.544	20.557	20.531	20.504	20.623	20.847	20.966	20.966	20.992	21.058	21.15	21.268	21.268	21.176	21.11	21.097	21.11	21.137	21.137	21.123
	18.609	18.609	18.623	18.636	18.663	18.609	18.502	18.448	18.448	18.394	18.299	18.245	18.245	18.245	18.245	18.272	18.326	18.34	18.312	18.326	18.38	18.434	18.502	18.636	18.852	19.107	19.388	19.575	19.641	19.681	19.721	19.748	19.761	19.775	19.775	19.788	19.828	19.868	19.908	19.908	19.881	19.868	19.868	19.894	19.921	19.934	19.948	19.934	19.921	19.934	19.961	19.987	19.974	19.934	19.894	19.894	19.934	19.974	19.974	19.974	19.987	20.001	20.014	20.027	20.014	20.014	20.04	20.054	20.027	20.001	19.961	19.948	19.961	19.987	20.027	20.04	20.027	20.001	19.974	19.948	19.921	19.921	19.921	19.921	19.908	19.921	19.934	19.921	19.908	19.908	19.934	19.921	19.894	19.881	19.908	19.921	19.908	19.908	19.894	19.881	19.894	19.908	19.908	19.934	19.961	20.001	20.027	19.987	19.908	19.854	19.841	19.841	19.828	19.828	19.828	19.841	19.841	19.854	19.868	19.908	19.948	19.934	19.868	19.828	19.854	19.908	19.948	19.961	19.961	19.948	19.908	19.881	19.868	19.854	19.854	19.854	19.868	19.854	19.814	19.814	19.868	19.881	19.868	19.828	19.788	19.788	19.828	19.854	19.841	19.841	19.841	19.854	19.868	19.881	19.894	19.908	19.908	19.908	19.894	19.894	19.908	19.908	19.921	19.908	19.881	19.868	19.881	19.854	19.814	19.788	19.814	19.841	19.881	19.881	19.841	19.801	19.775	19.788	19.828	19.854	19.854	19.841	19.828	19.801	19.788	19.788	19.801	19.801	19.788	19.801	19.854	19.868	19.854	19.854	19.854	19.854	19.828	19.788	19.761	19.788	19.854	19.894	19.881	19.868	19.854	19.841	19.814	19.814	19.841	19.868	19.881	19.921	19.974	19.961	19.908	19.868	19.868	19.881	19.881	19.828	19.748	19.695	19.681	19.695	19.735	19.788	19.814	19.841	19.868	19.908	19.961	19.987	19.987	20.014	20.067	20.107	20.107	20.08	20.067	20.067	20.08	20.094	20.094	20.133	20.186	20.213	20.2	20.186	20.173	20.226	20.319	20.359	20.332	20.319	20.319	20.292	20.279	20.279	20.306	20.319	20.306	20.292	20.306	20.345	20.385	20.412	20.412	20.372	20.306	20.292	20.306	20.319	20.319	20.332	20.345	20.359	20.372	20.372	20.359	20.398	20.478	20.557	20.583	20.57	20.517	20.451	20.398	20.359	20.345	20.345	20.345	20.359	20.359	20.398	20.438	20.478	20.491	20.504	20.531	20.531	20.504	20.491	20.504	20.57	20.663	20.742	20.781	20.847	20.913	20.979	21.031	21.018	20.953	20.9	20.9	20.926	20.966	21.005	21.045
	18.569	18.596	18.636	18.677	18.69	18.636	18.542	18.488	18.502	18.448	18.312	18.245	18.245	18.258	18.258	18.299	18.34	18.353	18.326	18.326	18.38	18.448	18.502	18.65	18.878	19.133	19.374	19.548	19.641	19.708	19.748	19.775	19.788	19.788	19.775	19.788	19.854	19.894	19.921	19.908	19.881	19.868	19.868	19.908	19.934	19.948	19.948	19.921	19.908	19.921	19.974	20.001	19.974	19.934	19.894	19.894	19.948	19.987	20.014	20.027	20.027	20.04	20.027	20.014	20.001	19.987	20.014	20.027	20.027	20.001	19.934	19.921	19.934	19.961	19.987	20.014	20.001	20.001	19.987	19.961	19.948	19.934	19.921	19.921	19.934	19.948	19.948	19.921	19.881	19.894	19.934	19.934	19.881	19.868	19.894	19.908	19.908	19.894	19.881	19.881	19.894	19.894	19.908	19.921	19.948	19.987	20.027	20.014	19.948	19.894	19.868	19.841	19.814	19.814	19.841	19.841	19.841	19.841	19.854	19.894	19.934	19.921	19.868	19.828	19.841	19.868	19.921	19.948	19.961	19.961	19.934	19.908	19.894	19.894	19.894	19.894	19.881	19.854	19.828	19.841	19.881	19.881	19.841	19.801	19.775	19.788	19.841	19.854	19.841	19.841	19.854	19.854	19.841	19.868	19.908	19.948	19.948	19.934	19.881	19.868	19.894	19.921	19.921	19.908	19.881	19.881	19.881	19.854	19.814	19.801	19.841	19.881	19.894	19.881	19.828	19.788	19.788	19.814	19.841	19.854	19.854	19.841	19.841	19.828	19.814	19.814	19.828	19.828	19.814	19.814	19.828	19.854	19.868	19.868	19.854	19.841	19.814	19.775	19.761	19.788	19.854	19.868	19.854	19.854	19.868	19.868	19.854	19.868	19.881	19.894	19.894	19.934	19.974	19.974	19.921	19.881	19.868	19.868	19.854	19.828	19.761	19.695	19.655	19.681	19.748	19.801	19.828	19.841	19.854	19.894	19.948	19.961	19.948	19.987	20.054	20.094	20.107	20.107	20.094	20.094	20.08	20.094	20.133	20.173	20.2	20.213	20.213	20.2	20.173	20.226	20.332	20.359	20.319	20.306	20.332	20.319	20.266	20.253	20.292	20.306	20.319	20.306	20.279	20.306	20.372	20.398	20.372	20.332	20.306	20.306	20.319	20.332	20.332	20.345	20.359	20.359	20.345	20.332	20.345	20.372	20.438	20.491	20.504	20.504	20.478	20.451	20.425	20.398	20.372	20.359	20.359	20.359	20.359	20.372	20.412	20.451	20.478	20.504	20.517	20.517	20.504	20.504	20.504	20.531	20.557	20.623	20.702	20.781	20.847	20.874	20.887	20.847	20.781	20.742	20.755	20.795	20.821	20.887	20.966
	18.528	18.596	18.704	18.757	18.731	18.663	18.596	18.555	18.542	18.475	18.34	18.272	18.258	18.285	18.326	18.353	18.367	18.38	18.38	18.394	18.421	18.448	18.515	18.636	18.825	19.08	19.361	19.575	19.708	19.788	19.828	19.828	19.801	19.788	19.788	19.801	19.841	19.854	19.854	19.868	19.881	19.894	19.894	19.921	19.974	19.987	19.961	19.921	19.894	19.921	19.987	20.001	19.974	19.934	19.908	19.921	19.961	20.027	20.08	20.094	20.08	20.054	20.04	20.027	20.001	19.987	19.987	19.987	19.987	19.987	19.974	19.948	19.908	19.921	19.961	19.987	19.987	19.987	20.001	20.014	20.04	20.014	19.948	19.934	19.961	19.961	19.934	19.881	19.841	19.841	19.881	19.894	19.868	19.868	19.908	19.934	19.948	19.921	19.881	19.868	19.894	19.921	19.921	19.921	19.921	19.934	19.974	19.987	19.974	19.934	19.894	19.854	19.828	19.828	19.854	19.881	19.894	19.894	19.881	19.894	19.934	19.934	19.868	19.841	19.854	19.881	19.881	19.894	19.908	19.921	19.908	19.921	19.961	19.961	19.948	19.921	19.894	19.868	19.854	19.868	19.894	19.881	19.828	19.788	19.801	19.814	19.828	19.841	19.854	19.854	19.854	19.854	19.854	19.868	19.894	19.921	19.961	19.948	19.894	19.868	19.868	19.881	19.894	19.908	19.894	19.881	19.854	19.828	19.814	19.841	19.881	19.894	19.854	19.828	19.801	19.788	19.814	19.828	19.841	19.854	19.854	19.868	19.868	19.868	19.841	19.841	19.841	19.854	19.854	19.828	19.788	19.814	19.868	19.868	19.814	19.788	19.814	19.814	19.814	19.814	19.854	19.854	19.814	19.841	19.894	19.934	19.908	19.908	19.921	19.908	19.894	19.908	19.948	19.961	19.934	19.921	19.894	19.881	19.868	19.814	19.735	19.668	19.641	19.668	19.735	19.788	19.801	19.814	19.828	19.868	19.908	19.921	19.921	19.948	20.001	20.054	20.067	20.08	20.107	20.12	20.133	20.16	20.213	20.226	20.213	20.213	20.226	20.226	20.226	20.253	20.292	20.319	20.319	20.319	20.332	20.306	20.266	20.253	20.266	20.292	20.319	20.306	20.292	20.292	20.319	20.306	20.253	20.239	20.279	20.306	20.332	20.359	20.372	20.372	20.345	20.319	20.306	20.319	20.345	20.412	20.504	20.517	20.465	20.438	20.451	20.465	20.451	20.438	20.412	20.412	20.438	20.425	20.385	20.385	20.425	20.465	20.478	20.491	20.504	20.517	20.544	20.531	20.504	20.504	20.557	20.636	20.729	20.808	20.847	20.847	20.834	20.781	20.702	20.676	20.702	20.729	20.755	20.808	20.874
	18.569	18.609	18.69	18.744	18.731	18.69	18.65	18.609	18.569	18.502	18.407	18.34	18.312	18.312	18.34	18.367	18.367	18.38	18.407	18.434	18.461	18.502	18.555	18.663	18.811	19.053	19.361	19.601	19.748	19.828	19.854	19.841	19.814	19.788	19.801	19.814	19.841	19.854	19.841	19.854	19.894	19.921	19.934	19.948	19.987	19.987	19.961	19.921	19.881	19.894	19.961	20.001	19.974	19.961	19.948	19.948	19.974	20.027	20.08	20.094	20.067	20.067	20.067	20.027	19.974	19.961	19.974	19.987	19.961	19.948	19.948	19.934	19.908	19.908	19.934	19.961	19.987	20.014	20.014	20.027	20.067	20.04	19.974	19.948	19.974	19.974	19.921	19.881	19.841	19.841	19.868	19.881	19.881	19.881	19.894	19.934	19.961	19.948	19.908	19.894	19.934	19.948	19.934	19.908	19.894	19.908	19.921	19.934	19.948	19.934	19.894	19.868	19.841	19.841	19.854	19.881	19.908	19.921	19.908	19.921	19.961	19.961	19.894	19.868	19.881	19.881	19.868	19.868	19.868	19.881	19.894	19.934	19.974	20.001	19.987	19.948	19.908	19.868	19.841	19.854	19.894	19.894	19.828	19.814	19.854	19.854	19.814	19.814	19.854	19.868	19.854	19.854	19.881	19.894	19.894	19.908	19.934	19.934	19.908	19.894	19.881	19.868	19.881	19.894	19.894	19.881	19.854	19.828	19.828	19.841	19.881	19.881	19.841	19.814	19.814	19.814	19.828	19.841	19.841	19.854	19.868	19.868	19.854	19.854	19.881	19.881	19.854	19.854	19.854	19.828	19.788	19.801	19.854	19.868	19.814	19.801	19.828	19.841	19.841	19.841	19.841	19.841	19.814	19.854	19.921	19.948	19.921	19.908	19.908	19.908	19.908	19.921	19.934	19.948	19.934	19.921	19.908	19.908	19.881	19.828	19.735	19.681	19.655	19.668	19.708	19.748	19.775	19.814	19.854	19.868	19.881	19.881	19.908	19.948	20.001	20.014	20.001	20.014	20.067	20.107	20.133	20.173	20.226	20.239	20.226	20.213	20.226	20.239	20.253	20.266	20.279	20.306	20.319	20.332	20.319	20.292	20.279	20.279	20.292	20.306	20.319	20.319	20.319	20.306	20.279	20.239	20.2	20.213	20.266	20.306	20.332	20.359	20.372	20.359	20.319	20.292	20.279	20.306	20.359	20.425	20.504	20.504	20.465	20.438	20.451	20.451	20.438	20.425	20.425	20.451	20.478	20.451	20.398	20.385	20.425	20.465	20.504	20.517	20.504	20.517	20.544	20.531	20.491	20.491	20.544	20.636	20.729	20.795	20.821	20.808	20.781	20.729	20.676	20.649	20.663	20.689	20.715	20.755	20.821
	18.65	18.636	18.623	18.65	18.704	18.731	18.704	18.65	18.596	18.542	18.502	18.448	18.394	18.353	18.34	18.34	18.353	18.38	18.394	18.434	18.515	18.569	18.623	18.717	18.865	19.107	19.388	19.615	19.748	19.814	19.828	19.814	19.814	19.801	19.801	19.828	19.854	19.881	19.881	19.894	19.908	19.934	19.961	19.987	19.987	19.974	19.934	19.894	19.868	19.868	19.921	19.974	19.987	20.001	19.987	19.987	19.987	20.001	20.014	20.027	20.027	20.04	20.08	20.027	19.921	19.908	19.987	20.014	19.961	19.908	19.881	19.894	19.908	19.908	19.894	19.934	20.027	20.067	20.027	20.001	20.001	19.987	19.974	19.974	19.974	19.961	19.921	19.908	19.908	19.894	19.881	19.881	19.908	19.908	19.894	19.908	19.961	19.961	19.921	19.934	19.987	19.974	19.921	19.894	19.908	19.908	19.894	19.894	19.894	19.894	19.881	19.868	19.841	19.841	19.854	19.854	19.854	19.881	19.921	19.974	20.001	19.987	19.948	19.921	19.908	19.894	19.881	19.868	19.854	19.868	19.908	19.934	19.961	19.974	20.001	19.987	19.934	19.868	19.801	19.801	19.881	19.908	19.868	19.868	19.908	19.881	19.788	19.775	19.841	19.868	19.868	19.881	19.908	19.921	19.921	19.908	19.908	19.908	19.921	19.921	19.908	19.881	19.881	19.868	19.881	19.881	19.881	19.854	19.828	19.814	19.841	19.868	19.868	19.868	19.881	19.868	19.841	19.841	19.868	19.881	19.881	19.854	19.814	19.828	19.894	19.908	19.868	19.841	19.828	19.814	19.801	19.814	19.841	19.854	19.868	19.854	19.854	19.841	19.841	19.841	19.841	19.841	19.868	19.881	19.908	19.921	19.894	19.881	19.881	19.908	19.948	19.961	19.948	19.934	19.921	19.908	19.894	19.894	19.894	19.854	19.775	19.721	19.708	19.695	19.668	19.695	19.761	19.828	19.894	19.908	19.881	19.881	19.934	19.987	20.04	20.014	19.948	19.948	20.014	20.067	20.094	20.133	20.186	20.226	20.239	20.239	20.239	20.239	20.253	20.266	20.279	20.306	20.332	20.332	20.306	20.292	20.292	20.319	20.359	20.359	20.332	20.332	20.359	20.345	20.279	20.226	20.226	20.253	20.292	20.319	20.319	20.319	20.332	20.319	20.306	20.279	20.279	20.292	20.345	20.398	20.425	20.465	20.517	20.517	20.465	20.425	20.398	20.398	20.412	20.438	20.465	20.438	20.385	20.372	20.398	20.451	20.531	20.557	20.531	20.504	20.491	20.478	20.465	20.478	20.517	20.597	20.702	20.768	20.781	20.768	20.742	20.702	20.663	20.636	20.636	20.649	20.689	20.742	20.808
